"Reporter","ReporterName","Partner","PartnerName","Year","TL","TLS","Duty Type","Duty Code","AV Duty Rate","Specific Duty Rate","TrfLineDescription","DutyTypeDescription","Duty Nature","AvMethod","Note"
"496","Mongolia","000"," World",2021,1012100,,0,2,0,,"-- Pure-bred breeding animals","MFN applied duty rates","A","",""
"496","Mongolia","000"," World",2021,1012900,,0,2,5,,"--Other","MFN applied duty rates","A","",""
"496","Mongolia","000"," World",2021,1013000,,0,2,5,,"- Asses","MFN applied duty rates","A","",""
"496","Mongolia","000"," World",2021,1019000,,0,2,5,,"- Other","MFN applied duty rates","A","",""
"496","Mongolia","000"," World",2021,1022110,,0,2,0,,"--- Bovine animals, including bulls and oxes","MFN applied duty rates","A","",""
"496","Mongolia","000"," World",2021,1022120,,0,2,0,,"--- Yak","MFN applied duty rates","A","",""
"496","Mongolia","000"," World",2021,1022910,,0,2,5,,"--- Bovine animals, including bulls and oxes","MFN applied duty rates","A","",""
"496","Mongolia","000"," World",2021,1022920,,0,2,5,,"--- Yak","MFN applied duty rates","A","",""
"496","Mongolia","000"," World",2021,1023100,,0,2,0,,"-- Pure-bred breeding animals","MFN applied duty rates","A","",""
"496","Mongolia","000"," World",2021,1023900,,0,2,5,,"-- Other","MFN applied duty rates","A","",""
"496","Mongolia","000"," World",2021,1029000,,0,2,5,,"- Other","MFN applied duty rates","A","",""
"496","Mongolia","000"," World",2021,1031000,,0,2,0,,"- Pure-bred breeding animals","MFN applied duty rates","A","",""
"496","Mongolia","000"," World",2021,1039100,,0,2,5,,"-- Weighing less than 50 kg","MFN applied duty rates","A","",""
"496","Mongolia","000"," World",2021,1039200,,0,2,5,,"-- Weighing 50 kg or more","MFN applied duty rates","A","",""
"496","Mongolia","000"," World",2021,1041000,,0,2,0,,"- Sheep","MFN applied duty rates","A","",""
"496","Mongolia","000"," World",2021,1042000,,0,2,0,,"- Goats","MFN applied duty rates","A","",""
"496","Mongolia","000"," World",2021,1051100,,0,2,5,,"-- Fowls of the species [Gallus domesticus]","MFN applied duty rates","A","",""
"496","Mongolia","000"," World",2021,1051200,,0,2,5,,"-- Turkeys","MFN applied duty rates","A","",""
"496","Mongolia","000"," World",2021,1051300,,0,2,5,,"-- Ducks","MFN applied duty rates","A","",""
"496","Mongolia","000"," World",2021,1051400,,0,2,5,,"-- Geese","MFN applied duty rates","A","",""
"496","Mongolia","000"," World",2021,1051500,,0,2,5,,"-- Guinea fowls","MFN applied duty rates","A","",""
"496","Mongolia","000"," World",2021,1059400,,0,2,5,,"-- Fowls of the species Gallus domesticus","MFN applied duty rates","A","",""
"496","Mongolia","000"," World",2021,1059900,,0,2,5,,"-- Other","MFN applied duty rates","A","",""
"496","Mongolia","000"," World",2021,1061100,,0,2,5,,"-- Primates","MFN applied duty rates","A","",""
"496","Mongolia","000"," World",2021,1061200,,0,2,5,,"-- Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)","MFN applied duty rates","A","",""
"496","Mongolia","000"," World",2021,1061300,,0,2,5,,"-- Camels and other camelids (Camelidae)","MFN applied duty rates","A","",""
"496","Mongolia","000"," World",2021,1061400,,0,2,5,,"-- Rabbits and hares","MFN applied duty rates","A","",""
"496","Mongolia","000"," World",2021,1061900,,0,2,5,,"-- Other","MFN applied duty rates","A","",""
"496","Mongolia","000"," World",2021,1062000,,0,2,5,,"- Reptiles (including snakes and turtles)","MFN applied duty rates","A","",""
"496","Mongolia","000"," World",2021,1063110,,0,2,5,,"--- Saker falcon","MFN applied duty rates","A","",""
