"Reporter","ReporterName","Partner","PartnerName","Year","TL","TLS","Duty Type","Duty Code","AV Duty Rate","Specific Duty Rate","TrfLineDescription","DutyTypeDescription","Duty Nature","AvMethod","Note"
"499","Montenegro","000"," World",2021,101210000,,0,2,0,"","-- Pure-bred breeding animals","MFN applied duty rates","A",,
"499","Montenegro","000"," World",2021,101291000,,0,2,0,"","--- For slaughter","MFN applied duty rates","A",,
"499","Montenegro","000"," World",2021,101299000,,0,2,5,"","--- Other","MFN applied duty rates","A",,
"499","Montenegro","000"," World",2021,101300000,,0,2,5,"","- Asses","MFN applied duty rates","A",,
"499","Montenegro","000"," World",2021,101900000,,0,2,5,"","- Other","MFN applied duty rates","A",,
"499","Montenegro","000"," World",2021,102211000,,0,2,0,"","--- Heifers (female bovines that have never calved)","MFN applied duty rates","A",,
"499","Montenegro","000"," World",2021,102213000,,0,2,0,"","--- Cows","MFN applied duty rates","A",,
"499","Montenegro","000"," World",2021,102219000,,0,2,0,"","--- Other","MFN applied duty rates","A",,
"499","Montenegro","000"," World",2021,102290500,,0,2,25,"","--- Of the sub-genus Bibos or of the sub-genus Poephagus","MFN applied duty rates","A",,
"499","Montenegro","000"," World",2021,102291000,,0,2,5,"","---- Of a weight not exceeding 80 kg","MFN applied duty rates","A",,
"499","Montenegro","000"," World",2021,102292100,,0,2,15,"","----- For slaughter","MFN applied duty rates","A",,
"499","Montenegro","000"," World",2021,102292900,,0,2,15,"","----- Other","MFN applied duty rates","A",,
"499","Montenegro","000"," World",2021,102294100,,0,2,30,"","----- For slaughter","MFN applied duty rates","A",,
"499","Montenegro","000"," World",2021,102294900,,0,2,30,"","----- Other","MFN applied duty rates","A",,
"499","Montenegro","000"," World",2021,102295100,,0,2,30,"","------ For slaughter","MFN applied duty rates","A",,
"499","Montenegro","000"," World",2021,102295900,,0,2,30,"","------ Other","MFN applied duty rates","A",,
"499","Montenegro","000"," World",2021,102296100,,0,2,30,"","------ For slaughter","MFN applied duty rates","A",,
"499","Montenegro","000"," World",2021,102296900,,0,2,30,"","------ Other","MFN applied duty rates","A",,
"499","Montenegro","000"," World",2021,102299100,,0,2,30,"","------ For slaughter","MFN applied duty rates","A",,
"499","Montenegro","000"," World",2021,102299900,,0,2,30,"","------ Other","MFN applied duty rates","A",,
"499","Montenegro","000"," World",2021,102310000,,0,2,0,"","-- Pure-bred breeding animals","MFN applied duty rates","A",,
"499","Montenegro","000"," World",2021,102391000,,0,2,30,"","--- Domestic species","MFN applied duty rates","A",,
"499","Montenegro","000"," World",2021,102399000,,0,2,25,"","--- Other","MFN applied duty rates","A",,
"499","Montenegro","000"," World",2021,102902000,,0,2,0,"","-- Pure-bred breeding animals","MFN applied duty rates","A",,
"499","Montenegro","000"," World",2021,102909100,,0,2,30,"","--- Domestic species","MFN applied duty rates","A",,
"499","Montenegro","000"," World",2021,102909900,,0,2,10,"","--- Other","MFN applied duty rates","A",,
