"Reporter","ReporterName","Partner","PartnerName","Year","TL","TLS","Duty Type","Duty Code","AV Duty Rate","Specific Duty Rate","TrfLineDescription","DutyTypeDescription","Duty Nature","AvMethod","Note"
"104","Myanmar","000"," World",2022,101210000,,0,2,0,,"- - Pure-bred breeding animals","MFN Rate (%)","A",,""
"104","Myanmar","000"," World",2022,101290000,,0,2,0,,"- - Other","MFN Rate (%)","A",,""
"104","Myanmar","000"," World",2022,101301000,,0,2,0,,"- - Pure-bred breeding animals","MFN Rate (%)","A",,""
"104","Myanmar","000"," World",2022,101309000,,0,2,0,,"- - Other","MFN Rate (%)","A",,""
"104","Myanmar","000"," World",2022,101900000,,0,2,0,,"- Other","MFN Rate (%)","A",,""
"104","Myanmar","000"," World",2022,102210000,,0,2,0,,"- - Pure-bred breeding animals","MFN Rate (%)","A",,""
"104","Myanmar","000"," World",2022,102291100,,0,2,0,,"- - - - Oxen","MFN Rate (%)","A",,""
"104","Myanmar","000"," World",2022,102291900,,0,2,0,,"- - - - Other","MFN Rate (%)","A",,""
"104","Myanmar","000"," World",2022,102299000,,0,2,0,,"- - - Other","MFN Rate (%)","A",,""
"104","Myanmar","000"," World",2022,102310000,,0,2,0,,"- - Pure-bred breeding animals","MFN Rate (%)","A",,""
"104","Myanmar","000"," World",2022,102390000,,0,2,0,,"- - Other","MFN Rate (%)","A",,""
"104","Myanmar","000"," World",2022,102901000,,0,2,0,,"- - Pure-bred breeding animals","MFN Rate (%)","A",,""
"104","Myanmar","000"," World",2022,102909000,,0,2,0,,"- - Other","MFN Rate (%)","A",,""
"104","Myanmar","000"," World",2022,103100000,,0,2,0,,"- Pure-bred breeding animals","MFN Rate (%)","A",,""
"104","Myanmar","000"," World",2022,103910000,,0,2,10,,"- - Weighing less than 50 kg","MFN Rate (%)","A",,""
"104","Myanmar","000"," World",2022,103920000,,0,2,10,,"- - Weighing 50 kg or more","MFN Rate (%)","A",,""
"104","Myanmar","000"," World",2022,104101000,,0,2,0,,"- - Pure-bred breeding animals","MFN Rate (%)","A",,""
"104","Myanmar","000"," World",2022,104109000,,0,2,0,,"- - Other","MFN Rate (%)","A",,""
"104","Myanmar","000"," World",2022,104201000,,0,2,0,,"- - Pure-bred breeding animals","MFN Rate (%)","A",,""
"104","Myanmar","000"," World",2022,104209000,,0,2,0,,"- - Other","MFN Rate (%)","A",,""
"104","Myanmar","000"," World",2022,105111000,,0,2,0,,"- - - Breeding fowls","MFN Rate (%)","A",,""
"104","Myanmar","000"," World",2022,105119000,,0,2,0,,"- - - Other","MFN Rate (%)","A",,""
"104","Myanmar","000"," World",2022,105121000,,0,2,0,,"- - - Breeding turkeys","MFN Rate (%)","A",,""
"104","Myanmar","000"," World",2022,105129000,,0,2,0,,"- - - Other","MFN Rate (%)","A",,""
"104","Myanmar","000"," World",2022,105131000,,0,2,0,,"- - - Breeding ducklings","MFN Rate (%)","A",,""
"104","Myanmar","000"," World",2022,105139000,,0,2,0,,"- - - Other","MFN Rate (%)","A",,""
"104","Myanmar","000"," World",2022,105141000,,0,2,0,,"- - - Breeding goslings","MFN Rate (%)","A",,""
"104","Myanmar","000"," World",2022,105149000,,0,2,0,,"- - - Other","MFN Rate (%)","A",,""
"104","Myanmar","000"," World",2022,105151000,,0,2,0,,"- - - Breeding guinea fowls","MFN Rate (%)","A",,""
"104","Myanmar","000"," World",2022,105159000,,0,2,0,,"- - - Other","MFN Rate (%)","A",,""
"104","Myanmar","000"," World",2022,105941000,,0,2,0,,"- - - Breeding fowls, other than fighting cocks","MFN Rate (%)","A",,""
"104","Myanmar","000"," World",2022,105944100,,0,2,0,,"- - - - Weighing not more than 2 kg","MFN Rate (%)","A",,""
"104","Myanmar","000"," World",2022,105944900,,0,2,0,,"- - - - Other","MFN Rate (%)","A",,""
"104","Myanmar","000"," World",2022,105949100,,0,2,10,,"- - - - Weighing not more than 2 kg","MFN Rate (%)","A",,""
"104","Myanmar","000"," World",2022,105949900,,0,2,10,,"- - - - Other","MFN Rate (%)","A",,""
"104","Myanmar","000"," World",2022,105991000,,0,2,0,,"- - - Breeding ducks","MFN Rate (%)","A",,""
"104","Myanmar","000"," World",2022,105992000,,0,2,0,,"- - - Other ducks","MFN Rate (%)","A",,""
"104","Myanmar","000"," World",2022,105993000,,0,2,0,,"- - - Breeding geese, turkeys and guinea fowls","MFN Rate (%)","A",,""
"104","Myanmar","000"," World",2022,105994000,,0,2,0,,"- - - Other geese, turkeys and guinea fowls","MFN Rate (%)","A",,""
"104","Myanmar","000"," World",2022,106110000,,0,2,0,,"- - Primates","MFN Rate (%)","A",,""
"104","Myanmar","000"," World",2022,106121000,,0,2,0,,"- - - Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia)","MFN Rate (%)","A",,""
