"Reporter","ReporterName","Partner","PartnerName","Year","TL","TLS","Duty Type","Duty Code","AV Duty Rate","Specific Duty Rate","TrfLineDescription","DutyTypeDescription","Duty Nature","AvMethod","Note"
"524","Nepal","000"," World",2018,1012100,,0,2,10,"","--Pure-bred breeding animals","MFN applied duty rates","A",,
"524","Nepal","000"," World",2018,1012900,,0,2,10,"","--Other","MFN applied duty rates","A",,
"524","Nepal","000"," World",2018,1013000,,0,2,10,"","-Asses","MFN applied duty rates","A",,
"524","Nepal","000"," World",2018,1019000,,0,2,10,"","-Other","MFN applied duty rates","A",,
"524","Nepal","000"," World",2018,1022100,,0,2,10,"","--Pure-bred breeding animals","MFN applied duty rates","A",,
"524","Nepal","000"," World",2018,1022900,,0,2,10,"","--Other","MFN applied duty rates","A",,
"524","Nepal","000"," World",2018,1023100,,0,2,10,"","--Pure-bred breeding animals","MFN applied duty rates","A",,
"524","Nepal","000"," World",2018,1023900,,0,2,10,"","--Other","MFN applied duty rates","A",,
"524","Nepal","000"," World",2018,1029000,,0,2,10,"","-Other","MFN applied duty rates","A",,
"524","Nepal","000"," World",2018,1031000,,0,2,10,"","-Pure-bred breeding animals","MFN applied duty rates","A",,
"524","Nepal","000"," World",2018,1039100,,0,2,10,"","--Weighing less than 50 kg","MFN applied duty rates","A",,
"524","Nepal","000"," World",2018,1039200,,0,2,10,"","--Weighing 50 kg or more","MFN applied duty rates","A",,
"524","Nepal","000"," World",2018,1041000,,0,2,10,"","-Sheep","MFN applied duty rates","A",,
"524","Nepal","000"," World",2018,1042000,,0,2,10,"","-Goats","MFN applied duty rates","A",,
"524","Nepal","000"," World",2018,1051100,,0,2,10,"","--Fowls of the species Gallus domesticus","MFN applied duty rates","A",,
"524","Nepal","000"," World",2018,1051200,,0,2,10,"","--Turkeys","MFN applied duty rates","A",,
"524","Nepal","000"," World",2018,1051300,,0,2,10,"","--Ducks","MFN applied duty rates","A",,
"524","Nepal","000"," World",2018,1051400,,0,2,10,"","--Geese","MFN applied duty rates","A",,
"524","Nepal","000"," World",2018,1051500,,0,2,10,"","--Guinea fowls","MFN applied duty rates","A",,
"524","Nepal","000"," World",2018,1059400,,0,2,10,"","-- Fowls of the species Galus domesticus","MFN applied duty rates","A",,
"524","Nepal","000"," World",2018,1059900,,0,2,10,"","--Other","MFN applied duty rates","A",,
"524","Nepal","000"," World",2018,1061100,,0,2,10,"","--Primates","MFN applied duty rates","A",,
"524","Nepal","000"," World",2018,1061200,,0,2,10,"","--Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)","MFN applied duty rates","A",,
"524","Nepal","000"," World",2018,1061300,,0,2,10,"","-- Camels and other camelids (Camelidae)","MFN applied duty rates","A",,
"524","Nepal","000"," World",2018,1061400,,0,2,10,"","-- Rabbits and hares","MFN applied duty rates","A",,
"524","Nepal","000"," World",2018,1061900,,0,2,10,"","--Other","MFN applied duty rates","A",,
"524","Nepal","000"," World",2018,1062000,,0,2,10,"","-Reptiles (including snakes and turtles)","MFN applied duty rates","A",,
"524","Nepal","000"," World",2018,1063100,,0,2,10,"","--Birds or prey","MFN applied duty rates","A",,
"524","Nepal","000"," World",2018,1063200,,0,2,10,"","--Psittaciformes (including parrots, parakeets, macaws and cockatoos)","MFN applied duty rates","A",,
"524","Nepal","000"," World",2018,1063300,,0,2,10,"","-- Ostriches; emus (Dromaius novaehollandiae)","MFN applied duty rates","A",,
"524","Nepal","000"," World",2018,1063900,,0,2,10,"","--Other","MFN applied duty rates","A",,
"524","Nepal","000"," World",2018,1064100,,0,2,10,"","--Bees","MFN applied duty rates","A",,
"524","Nepal","000"," World",2018,1064900,,0,2,10,"","--Other","MFN applied duty rates","A",,
"524","Nepal","000"," World",2018,1069000,,0,2,10,"","-Other","MFN applied duty rates","A",,
"524","Nepal","000"," World",2018,2011000,,0,2,10,"","-Carcasses and half-carcasses","MFN applied duty rates","A",,
"524","Nepal","000"," World",2018,2012000,,0,2,10,"","-Other cuts with bone in","MFN applied duty rates","A",,
"524","Nepal","000"," World",2018,2013000,,0,2,10,"","-Boneless","MFN applied duty rates","A",,
"524","Nepal","000"," World",2018,2021000,,0,2,10,"","-Carcasses and half-carcasses","MFN applied duty rates","A",,
"524","Nepal","000"," World",2018,2022000,,0,2,10,"","-Other cuts with bone in","MFN applied duty rates","A",,
"524","Nepal","000"," World",2018,2023000,,0,2,10,"","-Boneless","MFN applied duty rates","A",,
"524","Nepal","000"," World",2018,2031100,,0,2,10,"","--Carcasses and half-carcasses","MFN applied duty rates","A",,
"524","Nepal","000"," World",2018,2031200,,0,2,10,"","--Hams, shoulders and cuts thereof, with bone in","MFN applied duty rates","A",,
"524","Nepal","000"," World",2018,2031900,,0,2,10,"","--Other","MFN applied duty rates","A",,
"524","Nepal","000"," World",2018,2032100,,0,2,10,"","--Carcasses and half-carcasses","MFN applied duty rates","A",,
"524","Nepal","000"," World",2018,2032200,,0,2,10,"","--Hams, shoulders and cuts thereof, with bone in","MFN applied duty rates","A",,
"524","Nepal","000"," World",2018,2032900,,0,2,10,"","--Other","MFN applied duty rates","A",,
"524","Nepal","000"," World",2018,2041000,,0,2,10,"","-Carcasses and half-carcasses of lamb, fresh or chilled","MFN applied duty rates","A",,
"524","Nepal","000"," World",2018,2042100,,0,2,10,"","--Carcasses and half-carcasses","MFN applied duty rates","A",,
"524","Nepal","000"," World",2018,2042200,,0,2,10,"","--Other cuts with bone in","MFN applied duty rates","A",,
"524","Nepal","000"," World",2018,2042300,,0,2,10,"","--Boneless","MFN applied duty rates","A",,
"524","Nepal","000"," World",2018,2043000,,0,2,10,"","-Carcassess and half-carcassess of lamb, frozen","MFN applied duty rates","A",,
"524","Nepal","000"," World",2018,2044100,,0,2,10,"","--Carcassess and half- carcassess","MFN applied duty rates","A",,
"524","Nepal","000"," World",2018,2044200,,0,2,10,"","--Other cuts with bone in","MFN applied duty rates","A",,
"524","Nepal","000"," World",2018,2044300,,0,2,10,"","--Boneless","MFN applied duty rates","A",,
"524","Nepal","000"," World",2018,2045000,,0,2,10,"","-Meat of goats","MFN applied duty rates","A",,
"524","Nepal","000"," World",2018,2050000,,0,2,10,"","Meat of horses, asses, mules or hinnies, fresh, chilled or frozen.","MFN applied duty rates","A",,
"524","Nepal","000"," World",2018,2061000,,0,2,10,"","-Of bovine animals, fresh or chilled","MFN applied duty rates","A",,
"524","Nepal","000"," World",2018,2062100,,0,2,10,"","--Tongues","MFN applied duty rates","A",,
"524","Nepal","000"," World",2018,2062200,,0,2,10,"","--Livers","MFN applied duty rates","A",,
"524","Nepal","000"," World",2018,2062900,,0,2,10,"","--Other","MFN applied duty rates","A",,
"524","Nepal","000"," World",2018,2063000,,0,2,10,"","-Of swine, fresh or chilled","MFN applied duty rates","A",,
"524","Nepal","000"," World",2018,2064100,,0,2,10,"","--Livers","MFN applied duty rates","A",,
"524","Nepal","000"," World",2018,2064900,,0,2,10,"","--Other","MFN applied duty rates","A",,
"524","Nepal","000"," World",2018,2068000,,0,2,10,"","-Other, fresh or chilled","MFN applied duty rates","A",,
"524","Nepal","000"," World",2018,2069000,,0,2,10,"","-Other, frozen","MFN applied duty rates","A",,
"524","Nepal","000"," World",2018,2071100,,0,2,10,"","--Not cut in pieces, fresh or chilled","MFN applied duty rates","A",,
"524","Nepal","000"," World",2018,2071200,,0,2,10,"","--Not cut in pieces, frozen","MFN applied duty rates","A",,
"524","Nepal","000"," World",2018,2071300,,0,2,10,"","--Cuts and offal, fresh or chilled","MFN applied duty rates","A",,
"524","Nepal","000"," World",2018,2071400,,0,2,10,"","--Cuts and offal, frozen","MFN applied duty rates","A",,
"524","Nepal","000"," World",2018,2072400,,0,2,10,"","--Not cut in pieces, fresh or chilled","MFN applied duty rates","A",,
"524","Nepal","000"," World",2018,2072500,,0,2,10,"","--Not cut in pieces, frozen","MFN applied duty rates","A",,
"524","Nepal","000"," World",2018,2072600,,0,2,10,"","--Cuts and offal, fresh or chilled","MFN applied duty rates","A",,
"524","Nepal","000"," World",2018,2072700,,0,2,10,"","--Cuts and offal, frozen","MFN applied duty rates","A",,
"524","Nepal","000"," World",2018,2074100,,0,2,10,"","--Not cut in pieces, fresh or chilled","MFN applied duty rates","A",,
"524","Nepal","000"," World",2018,2074200,,0,2,10,"","--Not cut in pieces, frozen","MFN applied duty rates","A",,
"524","Nepal","000"," World",2018,2074300,,0,2,10,"","--Fatty livers, fresh or chilled","MFN applied duty rates","A",,
"524","Nepal","000"," World",2018,2074400,,0,2,10,"","-- Other, fresh or chilled","MFN applied duty rates","A",,
"524","Nepal","000"," World",2018,2074500,,0,2,10,"","-- Other, frozen","MFN applied duty rates","A",,
"524","Nepal","000"," World",2018,2075100,,0,2,10,"","--Not cut in pieces, fresh or chilled","MFN applied duty rates","A",,
"524","Nepal","000"," World",2018,2075200,,0,2,10,"","--Not cut in pieces, frozen","MFN applied duty rates","A",,
"524","Nepal","000"," World",2018,2075300,,0,2,10,"","--Fatty livers, fresh or chilled","MFN applied duty rates","A",,
"524","Nepal","000"," World",2018,2075400,,0,2,10,"","--Other, fresh or chilled","MFN applied duty rates","A",,
"524","Nepal","000"," World",2018,2075500,,0,2,10,"","--Other, frozen","MFN applied duty rates","A",,
"524","Nepal","000"," World",2018,2076000,,0,2,10,"","-Of guinea fowls","MFN applied duty rates","A",,
"524","Nepal","000"," World",2018,2081000,,0,2,10,"","-Of rabbits or hares","MFN applied duty rates","A",,
"524","Nepal","000"," World",2018,2083000,,0,2,10,"","-Of primates","MFN applied duty rates","A",,
"524","Nepal","000"," World",2018,2084000,,0,2,10,"","-Of whales, dolphins and porpoises (mammals of the order Cetacea); of manatees and dugongs (mammals of the order Sirenia); of seals, sea lions and walruses (mammals of the suborder Pinnipedia)","MFN applied duty rates","A",,
"524","Nepal","000"," World",2018,2085000,,0,2,10,"","-Of reptiles (including snakes and turtles)","MFN applied duty rates","A",,
"524","Nepal","000"," World",2018,2086000,,0,2,10,"","-Of camels and other camelids (Camelidae)","MFN applied duty rates","A",,
"524","Nepal","000"," World",2018,2089000,,0,2,10,"","-Other","MFN applied duty rates","A",,
"524","Nepal","000"," World",2018,2091000,,0,2,10,"","-Of pigs","MFN applied duty rates","A",,
"524","Nepal","000"," World",2018,2099000,,0,2,10,"","-Other","MFN applied duty rates","A",,
"524","Nepal","000"," World",2018,2101100,,0,2,10,"","--Hams, shoulders and cuts thereof, with bone in","MFN applied duty rates","A",,
"524","Nepal","000"," World",2018,2101200,,0,2,10,"","--Bellies (streaky) and cuts thereof","MFN applied duty rates","A",,
"524","Nepal","000"," World",2018,2101900,,0,2,10,"","--Other","MFN applied duty rates","A",,
"524","Nepal","000"," World",2018,2102000,,0,2,10,"","- Meat of bovine animals","MFN applied duty rates","A",,
"524","Nepal","000"," World",2018,2109100,,0,2,10,"","--Of primates","MFN applied duty rates","A",,
"524","Nepal","000"," World",2018,2109200,,0,2,10,"","--Of whales, dolphins and porpoises (mammals of the order Cetacea); of manatees and dugongs (mammals of the order Sirenia); of seals, sea lions and walruses (mammals of the suborder Pinnipedia)","MFN applied duty rates","A",,
"524","Nepal","000"," World",2018,2109300,,0,2,10,"","--Of reptiles (including snakes and turtles)","MFN applied duty rates","A",,
"524","Nepal","000"," World",2018,2109900,,0,2,10,"","--Other","MFN applied duty rates","A",,
"524","Nepal","000"," World",2018,3011100,,0,2,10,"","--Freshwater","MFN applied duty rates","A",,
"524","Nepal","000"," World",2018,3011900,,0,2,10,"","--Other","MFN applied duty rates","A",,
"524","Nepal","000"," World",2018,3019100,,0,2,10,"","--Trout (Salmo trutta, oncorhynchus mykiss, oncorhynchus clarki, Oncorhynehus aguabonita, Oncorhynchus gilae, Oncorhynchus appache and Oncorhynchus chrysogaster)","MFN applied duty rates","A",,
"524","Nepal","000"," World",2018,3019200,,0,2,10,"","--Eels (Anguilla spp.)","MFN applied duty rates","A",,
"524","Nepal","000"," World",2018,3019300,,0,2,10,"","Carp (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.)”.","MFN applied duty rates","A",,
"524","Nepal","000"," World",2018,3019400,,0,2,10,"","--Atlantic and Pacific bluefin tunas (Thunnus thynnus, Thunnus orientalis)","MFN applied duty rates","A",,
"524","Nepal","000"," World",2018,3019500,,0,2,10,"","-- Southern bluefin tunas (thunnus maccoyii)","MFN applied duty rates","A",,
"524","Nepal","000"," World",2018,3019900,,0,2,10,"","--Other","MFN applied duty rates","A",,
"524","Nepal","000"," World",2018,3021100,,0,2,10,"","--Trout (Salmo trutta, oncorhynchus mykiss, oncorhynchus clarki, oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus appache and Oncorhynchus chrysogaster)","MFN applied duty rates","A",,
"524","Nepal","000"," World",2018,3021300,,0,2,10,"","-- Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masouand Oncorhynchus rhodurus)","MFN applied duty rates","A",,
"524","Nepal","000"," World",2018,3021400,,0,2,10,"","--Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho)","MFN applied duty rates","A",,
"524","Nepal","000"," World",2018,3021900,,0,2,10,"","--Other","MFN applied duty rates","A",,
"524","Nepal","000"," World",2018,3022100,,0,2,10,"","--Halibut (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis)","MFN applied duty rates","A",,
"524","Nepal","000"," World",2018,3022200,,0,2,10,"","--Plaice (Pleuronectes platessa)","MFN applied duty rates","A",,
"524","Nepal","000"," World",2018,3022300,,0,2,10,"","--Sole (Solea spp.)","MFN applied duty rates","A",,
