"Reporter","ReporterName","Partner","PartnerName","Year","TL","TLS","Duty Type","Duty Code","AV Duty Rate","Specific Duty Rate","TrfLineDescription","DutyTypeDescription","Duty Nature","AvMethod","Note"
"578","Norway","000"," World",2023,1012100,,0,2,,"5000 NOK per item","- - Pure-bred breeding animals","MFN applied duty rates","S",,
"578","Norway","000"," World",2023,1012902,,0,2,,"37.61 NOK per kg","- - - Of a weight less than 133 kg","MFN applied duty rates","S",,
"578","Norway","000"," World",2023,1012908,,0,2,,"5000 NOK per item","- - - Other","MFN applied duty rates","S",,
"578","Norway","000"," World",2023,1013000,,0,2,0,"","- Asses","MFN applied duty rates","A",,
"578","Norway","000"," World",2023,1019000,,0,2,0,"","- Other","MFN applied duty rates","A",,
"578","Norway","000"," World",2023,1022100,,0,2,,"7500 NOK per item","- - Pure-bred breeding animals","MFN applied duty rates","S",,
"578","Norway","000"," World",2023,1022900,,0,2,,"37.61 NOK per kg","- - Other","MFN applied duty rates","S",,
"578","Norway","000"," World",2023,1023100,,0,2,,"7500 NOK per item","- - Pure-bred breeding animals","MFN applied duty rates","S",,
"578","Norway","000"," World",2023,1023900,,0,2,,"37.61 NOK per kg","- - Other","MFN applied duty rates","S",,
"578","Norway","000"," World",2023,1029000,,0,2,,"37.61 NOK per kg","- Other","MFN applied duty rates","S",,
"578","Norway","000"," World",2023,1031000,,0,2,,"1500 NOK per item","- Pure-bred breeding animals","MFN applied duty rates","S",,
"578","Norway","000"," World",2023,1039100,,0,2,,"32.25 NOK per kg","- - Weighing less than 50 kg","MFN applied duty rates","S",,
"578","Norway","000"," World",2023,1039200,,0,2,,"46.58 NOK per kg","- - Weighing 50 kg or more","MFN applied duty rates","S",,
"578","Norway","000"," World",2023,1041000,,0,2,,"1000 NOK per item","- Sheep","MFN applied duty rates","S",,
"578","Norway","000"," World",2023,1042000,,0,2,,"500 NOK per item","- Goats","MFN applied duty rates","S",,
"578","Norway","000"," World",2023,1051101,,0,2,,"5.45 NOK per kg","- - - Chickens for pure-bred breeding","MFN applied duty rates","S",,
"578","Norway","000"," World",2023,1051109,,0,2,327,"","- - - Other","MFN applied duty rates","A",,
"578","Norway","000"," World",2023,1051201,,0,2,,"39.06 NOK per kg","- - - Chickens for pure-bred breeding","MFN applied duty rates","S",,
"578","Norway","000"," World",2023,1051209,,0,2,327,"","- - - Other","MFN applied duty rates","A",,
"578","Norway","000"," World",2023,1051300,,0,2,327,"","- - Ducks","MFN applied duty rates","A",,
"578","Norway","000"," World",2023,1051400,,0,2,327,"","- - Geese","MFN applied duty rates","A",,
"578","Norway","000"," World",2023,1051500,,0,2,327,"","- - Guinea fowls","MFN applied duty rates","A",,
"578","Norway","000"," World",2023,1059400,,0,2,,"32.29 NOK per kg","- - Fowls of the species Gallus Domesticus","MFN applied duty rates","S",,
"578","Norway","000"," World",2023,1059900,,0,2,,"60.55 NOK per kg","- - Other","MFN applied duty rates","S",,
"578","Norway","000"," World",2023,1061100,,0,2,0,"","- - Primates","MFN applied duty rates","A",,
"578","Norway","000"," World",2023,1061200,,0,2,0,"","- - Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mamals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)","MFN applied duty rates","A",,
"578","Norway","000"," World",2023,1061300,,0,2,0,"","- - Camels and camelids (Camelidae)","MFN applied duty rates","A",,
"578","Norway","000"," World",2023,1061400,,0,2,0,"","- - Rabbits and hares","MFN applied duty rates","A",,
"578","Norway","000"," World",2023,1061910,,0,2,,"37.61 NOK per kg","- - - Reindeer","MFN applied duty rates","S",,
"578","Norway","000"," World",2023,1061992,,0,2,0,"","- - - - Fur-bearing animals, not elsewhere mentioned or included","MFN applied duty rates","A",,
"578","Norway","000"," World",2023,1061999,,0,2,0,"","- - - - Other, including dogs and cats","MFN applied duty rates","A",,
"578","Norway","000"," World",2023,1062001,,0,2,0,"","- - Snakes","MFN applied duty rates","A",,
"578","Norway","000"," World",2023,1062002,,0,2,0,"","- - Turtles","MFN applied duty rates","A",,
