"Reporter","ReporterName","Partner","PartnerName","Year","TL","TLS","Duty Type","Duty Code","AV Duty Rate","Specific Duty Rate","TrfLineDescription","DutyTypeDescription","Duty Nature","AvMethod","Note"
"512","Oman","000"," World",2022,1012110,,0,2,0,"","- - - Of Arab breed","MFN applied duty rates","A","",""
"512","Oman","000"," World",2022,1012190,,0,2,0,"","- - - Other","MFN applied duty rates","A","",""
"512","Oman","000"," World",2022,1012910,,0,2,0,"","- - - Horses for sport","MFN applied duty rates","A","",""
"512","Oman","000"," World",2022,1012920,,0,2,0,"","- - - ponies","MFN applied duty rates","A","",""
"512","Oman","000"," World",2022,1012990,,0,2,0,"","- - - Other","MFN applied duty rates","A","",""
"512","Oman","000"," World",2022,1013000,,0,2,0,"","- Asses","MFN applied duty rates","A","",""
"512","Oman","000"," World",2022,1019000,,0,2,0,"","- Other","MFN applied duty rates","A","",""
"512","Oman","000"," World",2022,1022100,,0,2,0,"","- - Pure-bred breeding animals","MFN applied duty rates","A","",""
"512","Oman","000"," World",2022,1022900,,0,2,0,"","- - Other","MFN applied duty rates","A","",""
"512","Oman","000"," World",2022,1023100,,0,2,0,"","- - Pure-bred breeding animals","MFN applied duty rates","A","",""
"512","Oman","000"," World",2022,1023900,,0,2,0,"","- - Other","MFN applied duty rates","A","",""
"512","Oman","000"," World",2022,1029000,,0,2,0,"","- Other","MFN applied duty rates","A","",""
"512","Oman","000"," World",2022,1031000,,0,2,,"","- Pure-bred breeding animals","MFN applied duty rates","P","",""
"512","Oman","000"," World",2022,1039100,,0,2,,"","- - Weighing less than 50 kg","MFN applied duty rates","P","",""
"512","Oman","000"," World",2022,1039200,,0,2,,"","- - Weighing 50 kg or more","MFN applied duty rates","P","",""
"512","Oman","000"," World",2022,1041010,,0,2,0,"","- - - Pure- bred breeding","MFN applied duty rates","A","",""
"512","Oman","000"," World",2022,1041090,,0,2,0,"","- - - Other","MFN applied duty rates","A","",""
"512","Oman","000"," World",2022,1042010,,0,2,0,"","- - - Pure- bred breeding","MFN applied duty rates","A","",""
"512","Oman","000"," World",2022,1042090,,0,2,0,"","- - - Other","MFN applied duty rates","A","",""
"512","Oman","000"," World",2022,1051100,,0,2,0,"","- - Fowls of the species Gallus domesticus","MFN applied duty rates","A","",""
"512","Oman","000"," World",2022,1051200,,0,2,0,"","- - Turkeys","MFN applied duty rates","A","",""
"512","Oman","000"," World",2022,1051300,,0,2,0,"","- - Ducks","MFN applied duty rates","A","",""
"512","Oman","000"," World",2022,1051400,,0,2,0,"","- - Geese","MFN applied duty rates","A","",""
"512","Oman","000"," World",2022,1051500,,0,2,0,"","- - Guinea fowls","MFN applied duty rates","A","",""
"512","Oman","000"," World",2022,1059410,,0,2,0,"","- - - Layers","MFN applied duty rates","A","",""
"512","Oman","000"," World",2022,1059420,,0,2,0,"","- - - Broilers","MFN applied duty rates","A","",""
"512","Oman","000"," World",2022,1059430,,0,2,0,"","- - - As mothers","MFN applied duty rates","A","",""
"512","Oman","000"," World",2022,1059490,,0,2,0,"","- - - Other","MFN applied duty rates","A","",""
"512","Oman","000"," World",2022,1059910,,0,2,0,"","- - - Tame ducks and geesse","MFN applied duty rates","A","",""
"512","Oman","000"," World",2022,1059920,,0,2,0,"","- - - Turkeys","MFN applied duty rates","A","",""
"512","Oman","000"," World",2022,1059990,,0,2,0,"","- - - Other","MFN applied duty rates","A","",""
"512","Oman","000"," World",2022,1061100,,0,2,0,"","- - Primates","MFN applied duty rates","A","",""
"512","Oman","000"," World",2022,1061200,,0,2,0,"","- - Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia) ; seals, sealions and walruses (mammals of the suborder Pinnipedia)”.","MFN applied duty rates","A","",""
"512","Oman","000"," World",2022,1061310,,0,2,0,"","- - - Pure-bred breeding","MFN applied duty rates","A","",""
"512","Oman","000"," World",2022,1061320,,0,2,0,"","- - - For domestic competitions and racing","MFN applied duty rates","A","",""
"512","Oman","000"," World",2022,1061390,,0,2,0,"","- - - Other","MFN applied duty rates","A","",""
"512","Oman","000"," World",2022,1061400,,0,2,0,"","- -Rabbits and hares","MFN applied duty rates","A","",""
"512","Oman","000"," World",2022,1061930,,0,2,0,"","- - - Gazelles and deer","MFN applied duty rates","A","",""
"512","Oman","000"," World",2022,1061940,,0,2,0,"","- - - Dogs","MFN applied duty rates","A","",""
"512","Oman","000"," World",2022,1061950,,0,2,0,"","- - - Foxes, minks and other fur animals","MFN applied duty rates","A","",""
"512","Oman","000"," World",2022,1061960,,0,2,0,"","- - - Animals for zoos, fairs, and imported animals for scientific experiment and research labs","MFN applied duty rates","A","",""
"512","Oman","000"," World",2022,1061990,,0,2,0,"","- - - Other","MFN applied duty rates","A","",""
"512","Oman","000"," World",2022,1062000,,0,2,0,"","- Reptiles (including snakes and turtles)","MFN applied duty rates","A","",""
"512","Oman","000"," World",2022,1063100,,0,2,0,"","- - Birds of prey","MFN applied duty rates","A","",""
"512","Oman","000"," World",2022,1063200,,0,2,0,"","- - Psittaciformes (including parrots, parakeets, macaws and cockatoos)","MFN applied duty rates","A","",""
"512","Oman","000"," World",2022,1063300,,0,2,0,"","- - Ostriches; emus (Dromaius novaehollandiae)","MFN applied duty rates","A","",""
"512","Oman","000"," World",2022,1063910,,0,2,0,"","- - - Tame and wild pigeons, partridges, pheasants, quail, snipe, sand grouse, wild ducks","MFN applied duty rates","A","",""
"512","Oman","000"," World",2022,1063920,,0,2,0,"","- - - Ornamental birds","MFN applied duty rates","A","",""
"512","Oman","000"," World",2022,1063990,,0,2,0,"","- - - Other","MFN applied duty rates","A","",""
