"Reporter","ReporterName","Partner","PartnerName","Year","TL","TLS","Duty Type","Duty Code","AV Duty Rate","Specific Duty Rate","TrfLineDescription","DutyTypeDescription","Duty Nature","AvMethod","Note"
"586","Pakistan","000"," World",2022,1012100,,0,2,3,"","- - PURE-BRED BREEDING ANIMALS","MFN applied duty rates","A",,""
"586","Pakistan","000"," World",2022,1012900,,0,2,3,"","- - OTHER","MFN applied duty rates","A",,""
"586","Pakistan","000"," World",2022,1013000,,0,2,3,"","- ASSES","MFN applied duty rates","A",,""
"586","Pakistan","000"," World",2022,1019000,,0,2,3,"","-OTHER","MFN applied duty rates","A",,""
"586","Pakistan","000"," World",2022,1022110,,0,2,3,"","- - - BULLS","MFN applied duty rates","A",,""
"586","Pakistan","000"," World",2022,1022120,,0,2,3,"","- - - COWS","MFN applied duty rates","A",,""
"586","Pakistan","000"," World",2022,1022130,,0,2,3,"","- - - OXEN","MFN applied duty rates","A",,""
"586","Pakistan","000"," World",2022,1022190,,0,2,3,"","- - - OTHER","MFN applied duty rates","A",,""
"586","Pakistan","000"," World",2022,1022910,,0,2,3,"","- - - BULLS","MFN applied duty rates","A",,""
"586","Pakistan","000"," World",2022,1022920,,0,2,3,"","- - - COWS","MFN applied duty rates","A",,""
"586","Pakistan","000"," World",2022,1022930,,0,2,3,"","- - - OXEN","MFN applied duty rates","A",,""
"586","Pakistan","000"," World",2022,1022990,,0,2,3,"","- - - OTHER","MFN applied duty rates","A",,""
"586","Pakistan","000"," World",2022,1023100,,0,2,3,"","- - PURE-BRED BREEDING ANIMALS","MFN applied duty rates","A",,""
"586","Pakistan","000"," World",2022,1023900,,0,2,3,"","- - OTHER","MFN applied duty rates","A",,""
"586","Pakistan","000"," World",2022,1029000,,0,2,3,"","- OTHER","MFN applied duty rates","A",,""
"586","Pakistan","000"," World",2022,1031000,,0,2,20,"","-PURE-BRED BREEDING ANIMALS","MFN applied duty rates","A",,""
"586","Pakistan","000"," World",2022,1039100,,0,2,20,"","- - WEIGHING LESS THAN 50 KG","MFN applied duty rates","A",,""
"586","Pakistan","000"," World",2022,1039200,,0,2,20,"","- - WEIGHING 50 KG OR MORE","MFN applied duty rates","A",,""
"586","Pakistan","000"," World",2022,1041000,,0,2,3,"","-SHEEP","MFN applied duty rates","A",,""
