"Reporter","ReporterName","Partner","PartnerName","Year","TL","TLS","Duty Type","Duty Code","AV Duty Rate","Specific Duty Rate","TrfLineDescription","DutyTypeDescription","Duty Nature","AvMethod","Note"
"591","Panama","000"," World",2023,1.0121e+10,,0,2,0,,"- - Reproductores de raza pura","MFN applied duty rates","A",,""
"591","Panama","000"," World",2023,1.0129e+10,,0,2,10,,"- - Los demás","MFN applied duty rates","A",,""
"591","Panama","000"," World",2023,1.013e+10,,0,2,10,,"- Asnos","MFN applied duty rates","A",,""
"591","Panama","000"," World",2023,1.019e+10,,0,2,10,,"- Los demás","MFN applied duty rates","A",,""
"591","Panama","000"," World",2023,1.0221e+10,,0,2,0,,"- - Reproductores de raza pura","MFN applied duty rates","A",,""
"591","Panama","000"," World",2023,1.0229e+10,,0,2,0,,"- - Los demás","MFN applied duty rates","A",,""
"591","Panama","000"," World",2023,1.0231e+10,,0,2,0,,"- - Reproductores de raza pura","MFN applied duty rates","A",,""
"591","Panama","000"," World",2023,1.0239e+10,,0,2,0,,"- - Los demás","MFN applied duty rates","A",,""
"591","Panama","000"," World",2023,10290100000,,0,2,0,,"- - Reproductores de raza pura","MFN applied duty rates","A",,""
"591","Panama","000"," World",2023,10290900000,,0,2,15,,"- - Los demás","MFN applied duty rates","A",,""
"591","Panama","000"," World",2023,1.031e+10,,0,2,5,,"- Reproductores de raza pura","MFN applied duty rates","A",,""
"591","Panama","000"," World",2023,1.0391e+10,,0,2,10,,"- - De peso inferior a 50 kg","MFN applied duty rates","A",,""
"591","Panama","000"," World",2023,1.0392e+10,,0,2,10,,"- - De peso superior o igual a 50 kg","MFN applied duty rates","A",,""
"591","Panama","000"," World",2023,10410100000,,0,2,0,,"- - Reproductores de raza pura","MFN applied duty rates","A",,""
"591","Panama","000"," World",2023,10410900000,,0,2,10,,"- - Otros","MFN applied duty rates","A",,""
"591","Panama","000"," World",2023,10420100000,,0,2,0,,"- - Reproductores de raza pura","MFN applied duty rates","A",,""
"591","Panama","000"," World",2023,10420900000,,0,2,15,,"- - Los demás","MFN applied duty rates","A",,""
"591","Panama","000"," World",2023,1.0511e+10,,0,2,0,,"- - Aves de la especie Gallus domesticus","MFN applied duty rates","A",,""
