"Reporter","ReporterName","Partner","PartnerName","Year","TL","TLS","Duty Type","Duty Code","AV Duty Rate","Specific Duty Rate","TrfLineDescription","DutyTypeDescription","Duty Nature","AvMethod","Note"
"598","Papua New Guinea","000"," World",2019,1012100,,0,2,0,"","- - Pure-bred breeding animals","MFN applied duty rates","A",,
"598","Papua New Guinea","000"," World",2019,1012900,,0,2,0,"","- - Other","MFN applied duty rates","A",,
"598","Papua New Guinea","000"," World",2019,1013000,,0,2,0,"","- Asses","MFN applied duty rates","A",,
"598","Papua New Guinea","000"," World",2019,1019000,,0,2,0,"","- Other","MFN applied duty rates","A",,
"598","Papua New Guinea","000"," World",2019,1022100,,0,2,0,"","- - Pure-bred breeding animals","MFN applied duty rates","A",,
"598","Papua New Guinea","000"," World",2019,1022900,,0,2,0,"","- - Other","MFN applied duty rates","A",,
"598","Papua New Guinea","000"," World",2019,1023100,,0,2,0,"","- - Pure-bred breeding animals","MFN applied duty rates","A",,
"598","Papua New Guinea","000"," World",2019,1023900,,0,2,0,"","- - Other","MFN applied duty rates","A",,
"598","Papua New Guinea","000"," World",2019,1029000,,0,2,0,"","- Other","MFN applied duty rates","A",,
"598","Papua New Guinea","000"," World",2019,1031000,,0,2,0,"","- Pure-bred breeding animals","MFN applied duty rates","A",,
"598","Papua New Guinea","000"," World",2019,1039100,,0,2,0,"","- - Weighing less than 50 kg","MFN applied duty rates","A",,
"598","Papua New Guinea","000"," World",2019,1039200,,0,2,0,"","- - Weighing 50 kg or more","MFN applied duty rates","A",,
"598","Papua New Guinea","000"," World",2019,1041000,,0,2,0,"","- Sheep","MFN applied duty rates","A",,
"598","Papua New Guinea","000"," World",2019,1042000,,0,2,0,"","- Goats","MFN applied duty rates","A",,
"598","Papua New Guinea","000"," World",2019,1051100,,0,2,0,"","- - Fowls of the species Gallus domesticus","MFN applied duty rates","A",,
"598","Papua New Guinea","000"," World",2019,1051200,,0,2,0,"","- - Turkeys","MFN applied duty rates","A",,
"598","Papua New Guinea","000"," World",2019,1051300,,0,2,0,"","- - Ducks","MFN applied duty rates","A",,
"598","Papua New Guinea","000"," World",2019,1051400,,0,2,0,"","- - Geese","MFN applied duty rates","A",,
"598","Papua New Guinea","000"," World",2019,1051500,,0,2,0,"","- - Guinea fowls","MFN applied duty rates","A",,
"598","Papua New Guinea","000"," World",2019,1059400,,0,2,0,"","- - Fowls of the species Gallus domesticus","MFN applied duty rates","A",,
"598","Papua New Guinea","000"," World",2019,1059900,,0,2,0,"","- - Other","MFN applied duty rates","A",,
"598","Papua New Guinea","000"," World",2019,1061100,,0,2,0,"","- - Primates","MFN applied duty rates","A",,
"598","Papua New Guinea","000"," World",2019,1061200,,0,2,0,"","- - Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)","MFN applied duty rates","A",,
"598","Papua New Guinea","000"," World",2019,1061300,,0,2,0,"","- - Camels and other camelids (Camelidae)","MFN applied duty rates","A",,
"598","Papua New Guinea","000"," World",2019,1061400,,0,2,0,"","- - Rabbits and hares","MFN applied duty rates","A",,
"598","Papua New Guinea","000"," World",2019,1061900,,0,2,0,"","- - Other","MFN applied duty rates","A",,
"598","Papua New Guinea","000"," World",2019,1062000,,0,2,0,"","- Reptiles (including snakes and turtles)","MFN applied duty rates","A",,
"598","Papua New Guinea","000"," World",2019,1063100,,0,2,0,"","- - Birds of prey","MFN applied duty rates","A",,
"598","Papua New Guinea","000"," World",2019,1063200,,0,2,0,"","- - Psittaciformes (including parrots, parakeets, macaws and cockatoos)","MFN applied duty rates","A",,
"598","Papua New Guinea","000"," World",2019,1063300,,0,2,0,"","- - Ostriches; emus (Dromaius novaehollandiae)","MFN applied duty rates","A",,
"598","Papua New Guinea","000"," World",2019,1063900,,0,2,0,"","- - Other","MFN applied duty rates","A",,
"598","Papua New Guinea","000"," World",2019,1064100,,0,2,0,"","- - Bees","MFN applied duty rates","A",,
