"Reporter","ReporterName","Partner","PartnerName","Year","TL","TLS","Duty Type","Duty Code","AV Duty Rate","Specific Duty Rate","TrfLineDescription","DutyTypeDescription","Duty Nature","AvMethod","Note"
"600","Paraguay","000"," World",2021,1012100,,0,2,0,,"- - Reproductores de raza pura","MFN applied duty rates","A","",
"600","Paraguay","000"," World",2021,1012900,,0,2,2,,"- - Los demás","MFN applied duty rates","A","",
"600","Paraguay","000"," World",2021,1013000,,0,2,4,,"- Asnos","MFN applied duty rates","A","",
"600","Paraguay","000"," World",2021,1019000,,0,2,4,,"- Los demás","MFN applied duty rates","A","",
"600","Paraguay","000"," World",2021,1022110,,0,2,0,,"Preñadas o con cría al pie","MFN applied duty rates","A","",
"600","Paraguay","000"," World",2021,1022190,,0,2,0,,"Los demás","MFN applied duty rates","A","",
"600","Paraguay","000"," World",2021,1022911,,0,2,2,,"Preñadas o con cría al pie","MFN applied duty rates","A","",
"600","Paraguay","000"," World",2021,1022919,,0,2,2,,"Los demás","MFN applied duty rates","A","",
"600","Paraguay","000"," World",2021,1022990,,0,2,2,,"Los demás","MFN applied duty rates","A","",
"600","Paraguay","000"," World",2021,1023110,,0,2,0,,"Preñadas o con cría al pie","MFN applied duty rates","A","",
"600","Paraguay","000"," World",2021,1023190,,0,2,0,,"Los demás","MFN applied duty rates","A","",
"600","Paraguay","000"," World",2021,1023911,,0,2,2,,"Preñadas o con cría al pie","MFN applied duty rates","A","",
"600","Paraguay","000"," World",2021,1023919,,0,2,2,,"Los demás","MFN applied duty rates","A","",
"600","Paraguay","000"," World",2021,1023990,,0,2,2,,"Los demás","MFN applied duty rates","A","",
"600","Paraguay","000"," World",2021,1029000,,0,2,0,,"- Los demás","MFN applied duty rates","A","",
"600","Paraguay","000"," World",2021,1031000,,0,2,0,,"- Reproductores de raza pura","MFN applied duty rates","A","",
"600","Paraguay","000"," World",2021,1039100,,0,2,2,,"- - De peso inferior a 50 kg","MFN applied duty rates","A","",
"600","Paraguay","000"," World",2021,1039200,,0,2,2,,"- - De peso superior o igual a 50 kg","MFN applied duty rates","A","",
"600","Paraguay","000"," World",2021,1041011,,0,2,0,,"Preñadas o con cría al pie","MFN applied duty rates","A","",
"600","Paraguay","000"," World",2021,1041019,,0,2,0,,"Los demás","MFN applied duty rates","A","",
"600","Paraguay","000"," World",2021,1041090,,0,2,2,,"Los demás","MFN applied duty rates","A","",
"600","Paraguay","000"," World",2021,1042010,,0,2,0,,"Reproductores de raza pura","MFN applied duty rates","A","",
"600","Paraguay","000"," World",2021,1042090,,0,2,2,,"Los demás","MFN applied duty rates","A","",
"600","Paraguay","000"," World",2021,1051110,,0,2,0,,"De líneas puras o híbridas, para reproducción","MFN applied duty rates","A","",
"600","Paraguay","000"," World",2021,1051190,,0,2,2,,"Los demás","MFN applied duty rates","A","",
"600","Paraguay","000"," World",2021,1051200,,0,2,2,,"- - Pavos (gallipavos)","MFN applied duty rates","A","",
"600","Paraguay","000"," World",2021,1051300,,0,2,2,,"- - Patos","MFN applied duty rates","A","",
"600","Paraguay","000"," World",2021,1051400,,0,2,2,,"- - Gansos","MFN applied duty rates","A","",
"600","Paraguay","000"," World",2021,1051500,,0,2,2,,"- - Pintadas","MFN applied duty rates","A","",
"600","Paraguay","000"," World",2021,1059400,,0,2,4,,"- - Aves de la especie Gallus domesticus","MFN applied duty rates","A","",
"600","Paraguay","000"," World",2021,1059900,,0,2,4,,"- - Los demás","MFN applied duty rates","A","",
"600","Paraguay","000"," World",2021,1061100,,0,2,4,,"- - Primates","MFN applied duty rates","A","",
