"Reporter","ReporterName","Partner","PartnerName","Year","TL","TLS","Duty Type","Duty Code","AV Duty Rate","Specific Duty Rate","TrfLineDescription","DutyTypeDescription","Duty Nature","AvMethod","Note"
"616","Poland","000"," World",2003,10110100,,0,2,0,"","--Horses","MFN applied duty","A",,""
"616","Poland","000"," World",2003,10110900,,0,2,13,"","--Other","MFN applied duty","A",,""
"616","Poland","000"," World",2003,10190110,,0,2,25,"","---For slaughter","MFN applied duty","A",,""
"616","Poland","000"," World",2003,10190190,,0,2,13,"","---Other","MFN applied duty","A",,""
"616","Poland","000"," World",2003,10190300,,0,2,13,"","--Asses","MFN applied duty","A",,""
"616","Poland","000"," World",2003,10190900,,0,2,13,"","--Mules and hinnies","MFN applied duty","A",,""
"616","Poland","000"," World",2003,10210100,,0,2,0,"","--Heifers (female bovines that have never calved)","MFN applied duty","A",,""
"616","Poland","000"," World",2003,10210300,,0,2,0,"","--Cows","MFN applied duty","A",,""
"616","Poland","000"," World",2003,10210900,,0,2,0,"","--Other","MFN applied duty","A",,""
"616","Poland","000"," World",2003,10290050,,0,2,,"12.0% +Max 0.93 EUR/kg","---Of a weight not exceeding 80 kg","MFN applied duty","C",,""
"616","Poland","000"," World",2003,10290210,,0,2,,"12.0% +Max 0.93 EUR/kg","----For slaughter","MFN applied duty","C",,""
"616","Poland","000"," World",2003,10290290,,0,2,,"12.0% +Max 0.93 EUR/kg","----Other","MFN applied duty","C",,""
"616","Poland","000"," World",2003,10290410,,0,2,,"12.0% +Max 0.93 EUR/kg","----For slaughter","MFN applied duty","C",,""
"616","Poland","000"," World",2003,10290490,,0,2,,"12.0% +Max 0.93 EUR/kg","----Other","MFN applied duty","C",,""
"616","Poland","000"," World",2003,10290510,,0,2,,"12.0% +Max 0.93 EUR/kg","-----For slaughter","MFN applied duty","C",,""
"616","Poland","000"," World",2003,10290590,,0,2,,"12.0% +Max 0.93 EUR/kg","-----Other","MFN applied duty","C",,""
"616","Poland","000"," World",2003,10290610,,0,2,,"12.0% +Max 0.93 EUR/kg","-----For slaughter","MFN applied duty","C",,""
"616","Poland","000"," World",2003,10290690,,0,2,,"12.0% +Max 0.93 EUR/kg","-----Other","MFN applied duty","C",,""
"616","Poland","000"," World",2003,10290710,,0,2,,"12.0% +Max 0.93 EUR/kg","-----For slaughter","MFN applied duty","C",,""
"616","Poland","000"," World",2003,10290790,,0,2,,"12.0% +Max 0.93 EUR/kg","-----Other","MFN applied duty","C",,""
"616","Poland","000"," World",2003,10290900,,0,2,13,"","--Other","MFN applied duty","A",,""
"616","Poland","000"," World",2003,10310000,,0,2,0,"","-Pure-bred breeding animals","MFN applied duty","A",,""
"616","Poland","000"," World",2003,10391100,,0,2,,"89.0% Max 0.41 EUR/kg","---Domestic species","MFN applied duty","M",,""
"616","Poland","000"," World",2003,10391900,,0,2,19,"","---Other","MFN applied duty","A",,""
