"Reporter","ReporterName","Partner","PartnerName","Year","TL","TLS","Duty Type","Duty Code","AV Duty Rate","Specific Duty Rate","TrfLineDescription","DutyTypeDescription","Duty Nature","AvMethod","Note"
"634","Qatar","000"," World",2021,1012110,,0,2,0,,"- - - Of Arab breed","MFN applied duty rates","A",,""
"634","Qatar","000"," World",2021,1012190,,0,2,0,,"- - - Other","MFN applied duty rates","A",,""
"634","Qatar","000"," World",2021,1012910,,0,2,0,,"- - - Horses for sport","MFN applied duty rates","A",,""
"634","Qatar","000"," World",2021,1012920,,0,2,0,,"- - - Ponies","MFN applied duty rates","A",,""
"634","Qatar","000"," World",2021,1012990,,0,2,0,,"- - - Other","MFN applied duty rates","A",,""
"634","Qatar","000"," World",2021,1013000,,0,2,0,,"- Asses","MFN applied duty rates","A",,""
"634","Qatar","000"," World",2021,1019000,,0,2,0,,"- Other","MFN applied duty rates","A",,""
"634","Qatar","000"," World",2021,1022100,,0,2,0,,"- - Pure-bred breeding animals","MFN applied duty rates","A",,""
"634","Qatar","000"," World",2021,1022900,,0,2,0,,"- - Other","MFN applied duty rates","A",,""
"634","Qatar","000"," World",2021,1023100,,0,2,0,,"- - Pure-bred breeding animals","MFN applied duty rates","A",,""
"634","Qatar","000"," World",2021,1023900,,0,2,0,,"- - Other","MFN applied duty rates","A",,""
"634","Qatar","000"," World",2021,1029000,,0,2,0,,"- Other","MFN applied duty rates","A",,""
"634","Qatar","000"," World",2021,1031000,,0,2,,,"- Pure-bred breeding animals","MFN applied duty rates","P",,"Missing tariff line added. Duty rate taken from 2017 tariff file."
"634","Qatar","000"," World",2021,1039100,,0,2,,,"- - Weighing less than 50 kg","MFN applied duty rates","P",,"Missing tariff line added. Duty rate taken from 2017 tariff file."
"634","Qatar","000"," World",2021,1039200,,0,2,,,"- - Weighing 50 kg or more","MFN applied duty rates","P",,"Missing tariff line added. Duty rate taken from 2017 tariff file."
"634","Qatar","000"," World",2021,1041010,,0,2,0,,"- - - Pure- bred breeding animals","MFN applied duty rates","A",,""
"634","Qatar","000"," World",2021,1041090,,0,2,0,,"- - - Other","MFN applied duty rates","A",,""
"634","Qatar","000"," World",2021,1042010,,0,2,0,,"- - - Pure- bred breeding animals","MFN applied duty rates","A",,""
"634","Qatar","000"," World",2021,1042090,,0,2,0,,"- - - Other","MFN applied duty rates","A",,""
"634","Qatar","000"," World",2021,1051100,,0,2,0,,"- - Fowls of the species Gallus domesticus","MFN applied duty rates","A",,""
"634","Qatar","000"," World",2021,1051200,,0,2,0,,"- - Turkeys","MFN applied duty rates","A",,""
"634","Qatar","000"," World",2021,1051300,,0,2,0,,"- - Ducks","MFN applied duty rates","A",,""
"634","Qatar","000"," World",2021,1051400,,0,2,0,,"- - Geese","MFN applied duty rates","A",,""
"634","Qatar","000"," World",2021,1051500,,0,2,0,,"- - Guinea fowls","MFN applied duty rates","A",,""
"634","Qatar","000"," World",2021,1059410,,0,2,0,,"- - - Layers","MFN applied duty rates","A",,""
"634","Qatar","000"," World",2021,1059420,,0,2,0,,"- - - Broilers","MFN applied duty rates","A",,""
"634","Qatar","000"," World",2021,1059430,,0,2,0,,"- - -For hatching","MFN applied duty rates","A",,""
"634","Qatar","000"," World",2021,1059490,,0,2,0,,"- - - Other","MFN applied duty rates","A",,""
"634","Qatar","000"," World",2021,1059910,,0,2,0,,"- - - Tame ducks and geesse","MFN applied duty rates","A",,""
"634","Qatar","000"," World",2021,1059920,,0,2,0,,"- - - Turkeys","MFN applied duty rates","A",,""
"634","Qatar","000"," World",2021,1059990,,0,2,0,,"- - - Other","MFN applied duty rates","A",,""
"634","Qatar","000"," World",2021,1061100,,0,2,0,,"- - Primates","MFN applied duty rates","A",,""
