"Reporter","ReporterName","Partner","PartnerName","Year","TL","TLS","Duty Type","Duty Code","AV Duty Rate","Specific Duty Rate","TrfLineDescription","DutyTypeDescription","Duty Nature","AvMethod","Note"
"882","Samoa","000"," World",2021,1012100,,0,2,8,"","- - Pure-bred breeding animals","MFN applied duty rates","A",,""
"882","Samoa","000"," World",2021,1012900,,0,2,20,"","- - Other","MFN applied duty rates","A",,""
"882","Samoa","000"," World",2021,1013000,,0,2,8,"","- Asses","MFN applied duty rates","A",,""
"882","Samoa","000"," World",2021,1019000,,0,2,8,"","- Other","MFN applied duty rates","A",,""
"882","Samoa","000"," World",2021,1022100,,0,2,0,"","- - Pure-bred breeding animals","MFN applied duty rates","A",,""
"882","Samoa","000"," World",2021,1022900,,0,2,8,"","- - Other","MFN applied duty rates","A",,""
"882","Samoa","000"," World",2021,1023100,,0,2,0,"","- - Pure-bred breeding animals","MFN applied duty rates","A",,""
"882","Samoa","000"," World",2021,1023900,,0,2,8,"","- - Other","MFN applied duty rates","A",,""
"882","Samoa","000"," World",2021,1029000,,0,2,8,"","- Other","MFN applied duty rates","A",,""
"882","Samoa","000"," World",2021,1031000,,0,2,8,"","- Pure-bred breeding animals","MFN applied duty rates","A",,""
"882","Samoa","000"," World",2021,1039100,,0,2,8,"","- - Weighing less than 50 kg","MFN applied duty rates","A",,""
"882","Samoa","000"," World",2021,1039200,,0,2,8,"","- - Weighing 50 kg or more","MFN applied duty rates","A",,""
"882","Samoa","000"," World",2021,1041000,,0,2,8,"","- Sheep","MFN applied duty rates","A",,""
"882","Samoa","000"," World",2021,1042000,,0,2,8,"","- Goats","MFN applied duty rates","A",,""
"882","Samoa","000"," World",2021,1051100,,0,2,0,"","- - Fowls of the species Gallus domesticus","MFN applied duty rates","A",,""
"882","Samoa","000"," World",2021,1051200,,0,2,0,"","- - Turkeys","MFN applied duty rates","A",,""
"882","Samoa","000"," World",2021,1051300,,0,2,0,"","- - Ducks","MFN applied duty rates","A",,""
"882","Samoa","000"," World",2021,1051400,,0,2,0,"","- - Geese","MFN applied duty rates","A",,""
"882","Samoa","000"," World",2021,1051500,,0,2,0,"","- - Guinea fowls","MFN applied duty rates","A",,""
"882","Samoa","000"," World",2021,1059400,,0,2,0,"","- - Fowls of the species Gallus domesticus","MFN applied duty rates","A",,""
"882","Samoa","000"," World",2021,1059900,,0,2,0,"","- - Other","MFN applied duty rates","A",,""
"882","Samoa","000"," World",2021,1061100,,0,2,8,"","- - Primates","MFN applied duty rates","A",,""
"882","Samoa","000"," World",2021,1061210,,0,2,8,"","Dolphins and porpoises","MFN applied duty rates","A",,""
"882","Samoa","000"," World",2021,1061290,,0,2,8,"","Other","MFN applied duty rates","A",,""
"882","Samoa","000"," World",2021,1061300,,0,2,8,"","- - Camels and other camelids (Camelidae)","MFN applied duty rates","A",,""
"882","Samoa","000"," World",2021,1061400,,0,2,8,"","- - Rabbits and hares","MFN applied duty rates","A",,""
"882","Samoa","000"," World",2021,1061900,,0,2,8,"","- - Other","MFN applied duty rates","A",,""
"882","Samoa","000"," World",2021,1062000,,0,2,8,"","- Reptiles (including snakes and turtles)","MFN applied duty rates","A",,""
"882","Samoa","000"," World",2021,1063100,,0,2,8,"","- - Birds of prey","MFN applied duty rates","A",,""
"882","Samoa","000"," World",2021,1063200,,0,2,8,"","- - Psittaciformes (including parrots, parakeets, macaws and cockatoos)","MFN applied duty rates","A",,""
"882","Samoa","000"," World",2021,1063300,,0,2,8,"","- - Ostriches; emus (Dromaius novaehollandiae)","MFN applied duty rates","A",,""
"882","Samoa","000"," World",2021,1063910,,0,2,8,"","Of a kind used for human food","MFN applied duty rates","A",,""
"882","Samoa","000"," World",2021,1063990,,0,2,20,"","Other (including zoo animals, dogs and cats)","MFN applied duty rates","A",,""
"882","Samoa","000"," World",2021,1064100,,0,2,8,"","- - Bees","MFN applied duty rates","A",,""
"882","Samoa","000"," World",2021,1064900,,0,2,8,"","- - Other","MFN applied duty rates","A",,""
"882","Samoa","000"," World",2021,1069000,,0,2,8,"","- Other","MFN applied duty rates","A",,""
"882","Samoa","000"," World",2021,2011000,,0,2,8,"","- Carcasses and half-carcasses","MFN applied duty rates","A",,""
"882","Samoa","000"," World",2021,2012000,,0,2,8,"","- Other cuts with bone in","MFN applied duty rates","A",,""
"882","Samoa","000"," World",2021,2013000,,0,2,8,"","- Boneless","MFN applied duty rates","A",,""
"882","Samoa","000"," World",2021,2021000,,0,2,8,"","- Carcasses and half-carcasses","MFN applied duty rates","A",,""
"882","Samoa","000"," World",2021,2022000,,0,2,8,"","- Other cuts with bone in","MFN applied duty rates","A",,""
"882","Samoa","000"," World",2021,2023000,,0,2,8,"","- Boneless","MFN applied duty rates","A",,""
"882","Samoa","000"," World",2021,2031100,,0,2,8,"","- - Carcasses and half-carcasses","MFN applied duty rates","A",,""
"882","Samoa","000"," World",2021,2031210,,0,2,8,"","Fresh or chilled bone in hams, shoulders and cuts thereof of","MFN applied duty rates","A",,""
"882","Samoa","000"," World",2021,2031290,,0,2,8,"","Fresh or chilled bone in hams, shoulders and cuts thereof of","MFN applied duty rates","A",,""
"882","Samoa","000"," World",2021,2031910,,0,2,8,"","Pig trotters","MFN applied duty rates","A",,""
"882","Samoa","000"," World",2021,2031990,,0,2,8,"","Other","MFN applied duty rates","A",,""
"882","Samoa","000"," World",2021,2032100,,0,2,8,"","- - Carcasses and half-carcasses","MFN applied duty rates","A",,""
"882","Samoa","000"," World",2021,2032200,,0,2,8,"","- - Hams, shoulders and cuts thereof, with bone in","MFN applied duty rates","A",,""
"882","Samoa","000"," World",2021,2032910,,0,2,5,"","Meat of swine fresh, chilled or frozen - pig trotters","MFN applied duty rates","A",,""
"882","Samoa","000"," World",2021,2032990,,0,2,8,"","Other meat of swine, fresh , chilled or frozen","MFN applied duty rates","A",,""
"882","Samoa","000"," World",2021,2041000,,0,2,20,"","- Carcasses and half-carcasses of lamb, fresh or chilled","MFN applied duty rates","A",,""
"882","Samoa","000"," World",2021,2042100,,0,2,20,"","- - Carcasses and half-carcasses","MFN applied duty rates","A",,""
"882","Samoa","000"," World",2021,2042200,,0,2,20,"","- - Other cuts with bone in","MFN applied duty rates","A",,""
"882","Samoa","000"," World",2021,2042300,,0,2,20,"","- - Boneless","MFN applied duty rates","A",,""
"882","Samoa","000"," World",2021,2043000,,0,2,20,"","- Carcasses and half-carcasses of lamb, frozen","MFN applied duty rates","A",,""
"882","Samoa","000"," World",2021,2044100,,0,2,20,"","- - Carcasses and half-carcasses","MFN applied duty rates","A",,""
"882","Samoa","000"," World",2021,2044200,,0,2,20,"","- - Other cuts with bone in","MFN applied duty rates","A",,""
"882","Samoa","000"," World",2021,2044310,,0,2,20,"","Mutton flaps (inexpensive cut of meat from sheep), frozen","MFN applied duty rates","A",,""
