"Reporter","ReporterName","Partner","PartnerName","Year","TL","TLS","Duty Type","Duty Code","AV Duty Rate","Specific Duty Rate","TrfLineDescription","DutyTypeDescription","Duty Nature","AvMethod","Note"
"682","Saudi Arabia","000"," World",2022,10121100001,,0,2,0,"","Of Arab breed males","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,10121100002,,0,2,0,"","Of Arab breed females","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,10121900001,,0,2,0,"","Of non-Arab breed males","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,10121900002,,0,2,0,"","Of non-Arab breed females","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,10129100001,,0,2,0,"","Males of Arab breed for sport","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,10129100002,,0,2,0,"","Females of Arab breed for sport","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,10129100003,,0,2,0,"","Males of non-Arab breed for sport","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,10129100004,,0,2,0,"","Females of non-Arab breed for sport","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,10129200001,,0,2,0,"","Ponies (males)","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,10129200002,,0,2,0,"","Ponies (females)","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,10129900001,,0,2,0,"","Pure-bred Arab horses for beauty contests and competitions","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,10129900002,,0,2,0,"","Arab horses of foreign breeds for beauty contests and competitions","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,10129900003,,0,2,0,"","Non-Arab horses for beauty contests and competitions","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,1.013e+10,,0,2,0,"","-Asses","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,1.019e+10,,0,2,0,"","- Other","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,10221000001,,0,2,0,"","Pure-bred bovine (males)","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,10221000002,,0,2,0,"","Pure-bred bovine (females)","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,10229000003,,0,2,0,"","Bovine for slaughter","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,10229000004,,0,2,0,"","Bovine for dairy production","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,10229009999,,0,2,0,"","Other of cattle","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,10231000001,,0,2,0,"","Pure-bred breeding buffalo (males)","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,10231000002,,0,2,0,"","Pure-bred breeding buffalo (females)","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,10239000001,,0,2,0,"","Buffalo for slaughter (males)","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,10239000002,,0,2,0,"","Buffalo for slaughter (females)","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,10239009999,,0,2,0,"","Other","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,1.029e+10,,0,2,0,"","- Other","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,1.031e+10,,0,2,,"Banned","- Pure-bred breeding animals","MFN applied duty rates","O",,""
"682","Saudi Arabia","000"," World",2022,1.0391e+10,,0,2,,"Banned","-- Weighing less than 50 kg","MFN applied duty rates","O",,""
"682","Saudi Arabia","000"," World",2022,1.0392e+10,,0,2,,"Banned","-- Weighing 50 kg or more","MFN applied duty rates","O",,""
"682","Saudi Arabia","000"," World",2022,10410100001,,0,2,0,"","Sheep (males)","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,10410100002,,0,2,0,"","Sheep (females)","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,10410900001,,0,2,0,"","Sheep for slaughter (males)","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,10410900002,,0,2,0,"","Sheep for slaughter (females)","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,10410909999,,0,2,0,"","Other","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,10420100000,,0,2,0,"","- - - Pure- bred breeding","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,10420900001,,0,2,0,"","Goats for slaughter (males)","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,10420900002,,0,2,0,"","Goats for slaughter (females)","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,10420909999,,0,2,0,"","Other","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,1.0511e+10,,0,2,0,"","-- Fowls of the species Gallus domesticus","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,1.0512e+10,,0,2,0,"","-- Turkeys","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,1.0513e+10,,0,2,0,"","- - Tame ducks","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,1.0514e+10,,0,2,0,"","-- Geese","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,1.0515e+10,,0,2,0,"","-- Guinea fowls","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,10594100000,,0,2,0,"","- - - Layers","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,10594200000,,0,2,0,"","- - - Broilers","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,10594300000,,0,2,0,"","- - - As mothers","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,10594900000,,0,2,0,"","---Other","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,10599100000,,0,2,0,"","- - - Tame ducks and geesse","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,10599200000,,0,2,0,"","---Turkeys","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,10599900000,,0,2,0,"","- - - Other","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,1.0611e+10,,0,2,0,"","-- Primates","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,10612000001,,0,2,0,"","Whales","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,10612000002,,0,2,0,"","Dolphins","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,10612000003,,0,2,0,"","Manatees","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,10612000004,,0,2,0,"","Seals","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,10612000005,,0,2,0,"","sea lions","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,10612000006,,0,2,0,"","walruses","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,10612009999,,0,2,0,"","Other","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,10613100000,,0,2,0,"","- - - Pure-bred breeding","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,10613200001,,0,2,0,"","Camel for sports competitions","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,10613200002,,0,2,0,"","Camel for beauty competitions","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,10613900000,,0,2,0,"","--- other","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,10614000001,,0,2,0,"","Tame rabbits","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,10614000002,,0,2,0,"","Wild rabbits","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,10619300000,,0,2,0,"","---Gazelles and deer","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,10619400001,,0,2,0,"","Dogs (for guarding)","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,10619400002,,0,2,0,"","Dogs (for hunting)","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,10619409999,,0,2,0,"","Other dogs","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,10619500001,,0,2,0,"","Foxes","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,10619500002,,0,2,0,"","Mink","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,10619500003,,0,2,0,"","Raccoon","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,10619500004,,0,2,0,"","Mara","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,10619509999,,0,2,0,"","Other","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,10619600001,,0,2,0,"","Animals for zoos","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,10619600002,,0,2,0,"","Animals for fairs","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,10619600003,,0,2,0,"","Animals imported for scientific experiment and research labs","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,10619900002,,0,2,0,"","Cats","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,10619900003,,0,2,0,"","Mice","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,10619900004,,0,2,0,"","Predatory animals (lions)","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,10619900005,,0,2,0,"","Predatory animals (tigers)","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,10619900006,,0,2,0,"","Predatory animals (leopards)","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,10619900007,,0,2,0,"","Predatory animals (hyenas)","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,10619900008,,0,2,0,"","Elephants","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,10619900009,,0,2,0,"","Giraffes","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,10619900010,,0,2,0,"","animals of the monkeys family","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,10619900011,,0,2,0,"","Bears","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,10619900012,,0,2,0,"","Scorpions","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,10619900013,,0,2,0,"","Spiders","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,10619909999,,0,2,0,"","Other","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,10620000001,,0,2,0,"","snakes","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,10620000002,,0,2,0,"","Turtles","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,10620009999,,0,2,0,"","Other reptiles","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,10631000001,,0,2,0,"","Falcon","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,10631009999,,0,2,0,"","Other birds of prey","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,10632000001,,0,2,0,"","Parrots","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,10632000002,,0,2,0,"","Parakeets","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,10632000003,,0,2,0,"","Macaw","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,10632000004,,0,2,0,"","Cockatoo","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,1.0633e+10,,0,2,0,"","-- Ostriches; emus (Dromaius novaehollandiae)","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,10639100001,,0,2,0,"","Tame pigeons","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,10639100003,,0,2,0,"","Partridge","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,10639100005,,0,2,0,"","Quail","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,10639100008,,0,2,0,"","Pterocles","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,10639109999,,0,2,0,"","Other","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,10639200000,,0,2,0,"","---Ornamental birds","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,10639900001,,0,2,0,"","Houbara","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,10639909999,,0,2,0,"","Other","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,1.0641e+10,,0,2,0,"","-- Bees","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,10649000001,,0,2,0,"","Locust","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,10649000002,,0,2,0,"","Butterflies","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,10649000004,,0,2,0,"","Worms","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,10649009999,,0,2,0,"","Other","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,1.069e+10,,0,2,0,"","- Other","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,20110000001,,0,2,0,"","Fresh carcasses of bovine animals","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,20110000002,,0,2,0,"","Fresh half-carcasses of bovine animals","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,20110000003,,0,2,0,"","Chilled carcasses of bovine animals","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,20110000004,,0,2,0,"","Chilled half-carcasses of bovine animals","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,2.012e+10,,0,2,0,"","- Other cuts with bone in","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,2.013e+10,,0,2,0,"","- Boneless","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,20210000001,,0,2,5,"","Frozen carcasses of bovine animals","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,20210000002,,0,2,5,"","Frozen half-carcasses of bovine animals","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,2.022e+10,,0,2,5,"","- Other cuts with bone in","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,20230100000,,0,2,6,"","- - - Minced","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,20230900000,,0,2,5,"","- - - Other","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,2.0311e+10,,0,2,,"Banned","-- Carcasses and half-carcasses","MFN applied duty rates","O",,""
"682","Saudi Arabia","000"," World",2022,2.0312e+10,,0,2,,"Banned","- - Hams, shoulders and cuts thereof, with bone in","MFN applied duty rates","O",,""
"682","Saudi Arabia","000"," World",2022,2.0319e+10,,0,2,,"Banned","-- Other","MFN applied duty rates","O",,""
"682","Saudi Arabia","000"," World",2022,2.0321e+10,,0,2,,"Banned","-- Carcasses and half-carcasses","MFN applied duty rates","O",,""
"682","Saudi Arabia","000"," World",2022,2.0322e+10,,0,2,,"Banned","- - Hams, shoulders and cuts thereof, with bone in","MFN applied duty rates","O",,""
"682","Saudi Arabia","000"," World",2022,2.0329e+10,,0,2,,"Banned","-- Other","MFN applied duty rates","O",,""
"682","Saudi Arabia","000"," World",2022,20410000001,,0,2,0,"","Fresh carcasses of lambs","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,20410000002,,0,2,0,"","Fresh half-carcasses of lambs","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,20410000003,,0,2,0,"","Chilled carcasses of lambs","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,20410000004,,0,2,0,"","Chilled half-carcasses of lambs","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,20421000001,,0,2,0,"","Fresh carcasses of sheep","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,20421000002,,0,2,0,"","Fresh half-carcasses of sheep","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,20421000003,,0,2,0,"","Chilled carcasses of sheep","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,20421000004,,0,2,0,"","Chilled half-carcasses of sheep","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,2.0422e+10,,0,2,0,"","-- Other cuts with bone in","MFN applied duty rates","A",,""
"682","Saudi Arabia","000"," World",2022,20423000001,,0,2,0,"","Fresh boneless sheep","MFN applied duty rates","A",,""
