"Reporter","ReporterName","Partner","PartnerName","Year","TL","TLS","Duty Type","Duty Code","AV Duty Rate","Specific Duty Rate","TrfLineDescription","DutyTypeDescription","Duty Nature","AvMethod","Note"
"891","Serbia, FR(Serbia/Montenegro)","000"," World",2007,101101000,,0,2,1,"","Pure-bred breeding horses","MFN applied duty rates","A","",""
"891","Serbia, FR(Serbia/Montenegro)","000"," World",2007,101109000,,0,2,5,"","Pure-bred breeding asses","MFN applied duty rates","A","",""
"891","Serbia, FR(Serbia/Montenegro)","000"," World",2007,101901100,,0,2,5,"","Horses for slaughter","MFN applied duty rates","A","",""
"891","Serbia, FR(Serbia/Montenegro)","000"," World",2007,101901900,,0,2,5,"","Live horses (excl. those pure bred for breeding and for slaughter)","MFN applied duty rates","A","",""
"891","Serbia, FR(Serbia/Montenegro)","000"," World",2007,101903000,,0,2,5,"","Live asses","MFN applied duty rates","A","",""
"891","Serbia, FR(Serbia/Montenegro)","000"," World",2007,101909000,,0,2,5,"","Live mules and hinnies","MFN applied duty rates","A","",""
"891","Serbia, FR(Serbia/Montenegro)","000"," World",2007,102101000,,0,2,1,"","Pure-bred breeding heifers 'female bovines that have never calved'","MFN applied duty rates","A","",""
"891","Serbia, FR(Serbia/Montenegro)","000"," World",2007,102103000,,0,2,1,"","Pure-bred breeding cows (excl. heifers)","MFN applied duty rates","A","",""
"891","Serbia, FR(Serbia/Montenegro)","000"," World",2007,102109000,,0,2,1,"","Pure-bred breeding bovines (excl. heifers and cows)","MFN applied duty rates","A","",""
"891","Serbia, FR(Serbia/Montenegro)","000"," World",2007,102900500,,0,2,,"15.0% + € 0.17/kg","Live domestic bovines of a weight <= 80 kg (excl. pure-bred breeding animals)","MFN applied duty rates","C","",""
"891","Serbia, FR(Serbia/Montenegro)","000"," World",2007,102902100,,0,2,,"15.0% + € 0.16/kg","Domestic bovines of a weight of between > 80 kg and <= 160 kg, for slaughter","MFN applied duty rates","C","",""
"891","Serbia, FR(Serbia/Montenegro)","000"," World",2007,102902900,,0,2,15,"","Live domestic bovines of a weight of > 80 kg and <= 160 kg (excl. animals for slaughter and pure-bred breeding animals)","MFN applied duty rates","A","",""
"891","Serbia, FR(Serbia/Montenegro)","000"," World",2007,102904100,,0,2,,"30.0% + € 0.15/kg","Domestic bovines of a weight of > 160 kg and <= 300 kg, for slaughter","MFN applied duty rates","C","",""
"891","Serbia, FR(Serbia/Montenegro)","000"," World",2007,102904900,,0,2,30,"","Live domestic bovines of a weight of > 160 kg and <= 300 kg (excl. animals for slaughter and pure-bred breeding animals)","MFN applied duty rates","A","",""
"891","Serbia, FR(Serbia/Montenegro)","000"," World",2007,102905100,,0,2,30,"","Heifers 'female domestic bovines that have never calved' of a weight of > 300 kg, for slaughter","MFN applied duty rates","A","",""
"891","Serbia, FR(Serbia/Montenegro)","000"," World",2007,102905900,,0,2,30,"","Live heifers 'female domestic bovines that have never calved' of a weight of > 300 kg (excl. animals for slaughter and pure-bred breeding animals)","MFN applied duty rates","A","",""
"891","Serbia, FR(Serbia/Montenegro)","000"," World",2007,102906100,,0,2,30,"","Cows 'female domestic bovines' of a weight of > 300 kg, for slaughter (excl. heifers)","MFN applied duty rates","A","",""
"891","Serbia, FR(Serbia/Montenegro)","000"," World",2007,102906900,,0,2,30,"","Live cows 'female domestic bovines' of a weight of > 300 kg (excl. animals for slaughter, heifers and pure-bred breeding animals)","MFN applied duty rates","A","",""
"891","Serbia, FR(Serbia/Montenegro)","000"," World",2007,102907100,,0,2,,"30.0% + € 0.14","Live domestic bovines of a weight of > 300 kg, for slaughter (excl. heifers and cows)","MFN applied duty rates","C","",""
"891","Serbia, FR(Serbia/Montenegro)","000"," World",2007,102907900,,0,2,30,"","Live domestic bovines of a weight of > 300 kg (excl. animals for slaughter, heifers, cows and pure-bred breeding animals)","MFN applied duty rates","A","",""
"891","Serbia, FR(Serbia/Montenegro)","000"," World",2007,102909000,,0,2,30,"","Live non-domestic bovines (excl. pure-bred for breeding)","MFN applied duty rates","A","",""
"891","Serbia, FR(Serbia/Montenegro)","000"," World",2007,103100000,,0,2,1,"","Pure-bred breeding swine","MFN applied duty rates","A","",""
"891","Serbia, FR(Serbia/Montenegro)","000"," World",2007,103911000,,0,2,,"30.0% + € 0.17/kg","Domestic swine, weighing < 50 kg (excl. pure-bred for breeding)","MFN applied duty rates","C","",""
"891","Serbia, FR(Serbia/Montenegro)","000"," World",2007,103919000,,0,2,30,"","Live non-domestic swine, weighing < 50 kg","MFN applied duty rates","A","",""
"891","Serbia, FR(Serbia/Montenegro)","000"," World",2007,103921100,,0,2,,"30.0% + € 0.14/kg","Live domestic sows, having farrowed at least once, weighing >= 160 kg (excl. pure-bred for breeding)","MFN applied duty rates","C","",""
"891","Serbia, FR(Serbia/Montenegro)","000"," World",2007,103921900,,0,2,,"30.0% + € 0.14/kg","Live domestic swine, weighing >= 50 kg (excl. sows having farrowed at least once and weighing >= 160 kg, and those pure-bred for breeding)","MFN applied duty rates","C","",""
"891","Serbia, FR(Serbia/Montenegro)","000"," World",2007,103929000,,0,2,30,"","Live non-domestic swine, weighing >= 50 kg","MFN applied duty rates","A","",""
"891","Serbia, FR(Serbia/Montenegro)","000"," World",2007,104101000,,0,2,1,"","Pure-bred sheep for breeding","MFN applied duty rates","A","",""
