"Reporter","ReporterName","Partner","PartnerName","Year","TL","TLS","Duty Type","Duty Code","AV Duty Rate","Specific Duty Rate","TrfLineDescription","DutyTypeDescription","Duty Nature","AvMethod","Note"
"690","Seychelles","000"," World",2022,1012100,,0,2,0,"","Pure-bred breeding animals","MFN applied duty rates","A","",""
"690","Seychelles","000"," World",2022,1012900,,0,2,0,"","Other horses","MFN applied duty rates","A","",""
"690","Seychelles","000"," World",2022,1013000,,0,2,0,"","Asses","MFN applied duty rates","A","",""
"690","Seychelles","000"," World",2022,1019000,,0,2,0,"","Other mules andhinnies","MFN applied duty rates","A","",""
"690","Seychelles","000"," World",2022,1022100,,0,2,0,"","Pure bred breeding cattle","MFN applied duty rates","A","",""
"690","Seychelles","000"," World",2022,1022900,,0,2,0,"","Other cattle","MFN applied duty rates","A","",""
"690","Seychelles","000"," World",2022,1023100,,0,2,0,"","Pure bred breeding buffalo","MFN applied duty rates","A","",""
"690","Seychelles","000"," World",2022,1023900,,0,2,0,"","Other buffalo","MFN applied duty rates","A","",""
"690","Seychelles","000"," World",2022,1029000,,0,2,0,"","Other live bovine animals","MFN applied duty rates","A","",""
"690","Seychelles","000"," World",2022,1031000,,0,2,0,"","Pure-bredbreeding animals; live swine","MFN applied duty rates","A","",""
"690","Seychelles","000"," World",2022,1039100,,0,2,0,"","Other live swine Weighing less than 50 kg","MFN applied duty rates","A","",""
"690","Seychelles","000"," World",2022,1039200,,0,2,0,"","Other live swine Weighing 50 kg or more","MFN applied duty rates","A","",""
"690","Seychelles","000"," World",2022,1041000,,0,2,0,"","Sheep","MFN applied duty rates","A","",""
"690","Seychelles","000"," World",2022,1042000,,0,2,0,"","Goats","MFN applied duty rates","A","",""
"690","Seychelles","000"," World",2022,1051100,,0,2,0,"","Fowls of the species Gallus domesticus weighing not more than 185 g","MFN applied duty rates","A","",""
"690","Seychelles","000"," World",2022,1051200,,0,2,0,"","Turkeys weighing not more than 185 g","MFN applied duty rates","A","",""
"690","Seychelles","000"," World",2022,1051300,,0,2,0,"","Ducks Weighing not more than 185 g","MFN applied duty rates","A","",""
