"Reporter","ReporterName","Partner","PartnerName","Year","TL","TLS","Duty Type","Duty Code","AV Duty Rate","Specific Duty Rate","TrfLineDescription","DutyTypeDescription","Duty Nature","AvMethod","Note"
"705","Slovenia","000"," World",2003,1011010,,0,1,27,"","- - Horses","MFN Current Bound Duty","A","",
"705","Slovenia","000"," World",2003,1011090,,0,1,27,"","- - Other","MFN Current Bound Duty","A","",
"705","Slovenia","000"," World",2003,1019011,,0,1,27,"","- - - For slaughter","MFN Current Bound Duty","A","",
"705","Slovenia","000"," World",2003,1019019,,0,1,27,"","- - - Other","MFN Current Bound Duty","A","",
"705","Slovenia","000"," World",2003,1019030,,0,1,27,"","- - Asses","MFN Current Bound Duty","A","",
"705","Slovenia","000"," World",2003,1019090,,0,1,27,"","- - Mules and hinnies","MFN Current Bound Duty","A","",
"705","Slovenia","000"," World",2003,1021010,,0,1,3,"","- - Heifers (female bovines that have never calved)","MFN Current Bound Duty","A","",
"705","Slovenia","000"," World",2003,1021030,,0,1,3,"","- - Cows","MFN Current Bound Duty","A","",
"705","Slovenia","000"," World",2003,1021090,,0,1,3,"","- - Other","MFN Current Bound Duty","A","",
"705","Slovenia","000"," World",2003,1029005,,0,1,,"9%+875.4 EUR/t","- - - Of a weight not exceeding 80 kg","MFN Current Bound Duty","C","",
"705","Slovenia","000"," World",2003,1029021,,0,1,,"9%+875.4 EUR/t","- - - - For slaughter","MFN Current Bound Duty","C","",
"705","Slovenia","000"," World",2003,1029029,,0,1,,"9%+875.4 EUR/t","- - - - Other","MFN Current Bound Duty","C","",
"705","Slovenia","000"," World",2003,1029041,,0,1,,"9%+875.4 EUR/t","- - - - For slaughter","MFN Current Bound Duty","C","",
"705","Slovenia","000"," World",2003,1029049,,0,1,,"9%+875.4 EUR/t","- - - - Other","MFN Current Bound Duty","C","",
"705","Slovenia","000"," World",2003,1029051,,0,1,,"9%+875.4 EUR/t","- - - - - For slaughter","MFN Current Bound Duty","C","",
"705","Slovenia","000"," World",2003,1029059,,0,1,,"9%+875.4 EUR/t","- - - - - Other","MFN Current Bound Duty","C","",
"705","Slovenia","000"," World",2003,1029061,,0,1,,"9%+875.4 EUR/t","- - - - - For slaughter","MFN Current Bound Duty","C","",
"705","Slovenia","000"," World",2003,1029069,,0,1,,"9%+875.4 EUR/t","- - - - - Other","MFN Current Bound Duty","C","",
"705","Slovenia","000"," World",2003,1029071,,0,1,,"9%+875.4 EUR/t","- - - - - For slaughter","MFN Current Bound Duty","C","",
"705","Slovenia","000"," World",2003,1029079,,0,1,,"9%+875.4 EUR/t","- - - - - Other","MFN Current Bound Duty","C","",
"705","Slovenia","000"," World",2003,1029090,,0,1,,"9%+875.4 EUR/t","- - Other","MFN Current Bound Duty","C","",
"705","Slovenia","000"," World",2003,1031000,,0,1,27,"","- Pure-bred breeding animals","MFN Current Bound Duty","A","",
"705","Slovenia","000"," World",2003,1039110,,0,1,,"9%+309.3 EUR/t","- - - Domestic species","MFN Current Bound Duty","C","",
"705","Slovenia","000"," World",2003,1039190,,0,1,,"9%+309.3 EUR/t","- - - Other","MFN Current Bound Duty","C","",
"705","Slovenia","000"," World",2003,1039211,,0,1,,"9%+309.3 EUR/t","- - - - Sows having farrowed at least once, of a weight of not  less than 160 kg","MFN Current Bound Duty","C","",
"705","Slovenia","000"," World",2003,1039219,,0,1,,"9%+309.3 EUR/t","- - - - Other","MFN Current Bound Duty","C","",
"705","Slovenia","000"," World",2003,1039290,,0,1,,"9%+309.3 EUR/t","- - - Other","MFN Current Bound Duty","C","",
"705","Slovenia","000"," World",2003,1041010,,0,1,45,"","- - Pure-bred breeding animals","MFN Current Bound Duty","A","",
"705","Slovenia","000"," World",2003,1041030,,0,1,45,"","- - - Lambs (up to a year old)","MFN Current Bound Duty","A","",
"705","Slovenia","000"," World",2003,1041080,,0,1,45,"","- - - Other","MFN Current Bound Duty","A","",
"705","Slovenia","000"," World",2003,1042010,,0,1,45,"","- - Pure-bred breeding animals","MFN Current Bound Duty","A","",
"705","Slovenia","000"," World",2003,1042090,,0,1,45,"","- - Other","MFN Current Bound Duty","A","",
"705","Slovenia","000"," World",2003,1051111,,0,1,2,"","- - - - Laying stocks","MFN Current Bound Duty","A","",
"705","Slovenia","000"," World",2003,1051119,,0,1,2,"","- - - - Other","MFN Current Bound Duty","A","",
"705","Slovenia","000"," World",2003,1051191,,0,1,,"9%+1739.7 EUR/t","- - - - Laying stocks","MFN Current Bound Duty","C","",
"705","Slovenia","000"," World",2003,1051199,,0,1,,"9%+1739.7 EUR/t","- - - - Other","MFN Current Bound Duty","C","",
"705","Slovenia","000"," World",2003,1051200,0,0,1,23.5,"","- - Turkeys","MFN Current Bound Duty","A","S",
"705","Slovenia","000"," World",2003,1051200,1,0,1,2,"","- - -Breeding animals","MFN Current Bound Duty","A","",
"705","Slovenia","000"," World",2003,1051200,2,0,1,45,"","- - -Other","MFN Current Bound Duty","A","",
"705","Slovenia","000"," World",2003,1051920,0,0,1,23.5,"","- - - Geese","MFN Current Bound Duty","A","S",
"705","Slovenia","000"," World",2003,1051920,1,0,1,2,"","- - - -Breeding animals","MFN Current Bound Duty","A","",
"705","Slovenia","000"," World",2003,1051920,2,0,1,45,"","- - - -Other","MFN Current Bound Duty","A","",
"705","Slovenia","000"," World",2003,1051990,,0,1,2,"","- - - Ducks and guinea fowls","MFN Current Bound Duty","A","",
"705","Slovenia","000"," World",2003,1059200,0,0,1,,"","- - Fowls of the species Gallus domesticus weighing not more  than 2 000 g","MFN Current Bound Duty","O","O",
