"Reporter","ReporterName","Partner","PartnerName","Year","TL","TLS","Duty Type","Duty Code","AV Duty Rate","Specific Duty Rate","TrfLineDescription","DutyTypeDescription","Duty Nature","AvMethod","Note"
"410","Korea, Rep.","000"," World",2023,101211000,,0,2,0,"","For farm breeding","MFN applied duty rates","A","",
"410","Korea, Rep.","000"," World",2023,101219000,,0,2,8,"","Other","MFN applied duty rates","A","",
"410","Korea, Rep.","000"," World",2023,101291000,,0,2,8,"","Horses for racing","MFN applied duty rates","A","",
"410","Korea, Rep.","000"," World",2023,101299000,,0,2,8,"","Other","MFN applied duty rates","A","",
"410","Korea, Rep.","000"," World",2023,101300000,,0,2,8,"","Asses","MFN applied duty rates","A","",
"410","Korea, Rep.","000"," World",2023,101900000,,0,2,8,"","Other","MFN applied duty rates","A","",
"410","Korea, Rep.","000"," World",2023,102211000,,0,2,89.1,"","For milk","MFN applied duty rates","A","",
"410","Korea, Rep.","000"," World",2023,102212000,,0,2,89.1,"","For meat","MFN applied duty rates","A","",
"410","Korea, Rep.","000"," World",2023,102219000,,0,2,89.1,"","Other","MFN applied duty rates","A","",
"410","Korea, Rep.","000"," World",2023,102291000,,0,2,40,"","For milk","MFN applied duty rates","A","",
"410","Korea, Rep.","000"," World",2023,102292000,,0,2,40,"","For milk","MFN applied duty rates","A","",
"410","Korea, Rep.","000"," World",2023,102299000,,0,2,0,"","Other","MFN applied duty rates","A","",
"410","Korea, Rep.","000"," World",2023,102310000,,0,2,89.1,"","Pure-bred breeding animals","MFN applied duty rates","A","",
"410","Korea, Rep.","000"," World",2023,102391000,,0,2,40,"","For milk","MFN applied duty rates","A","",
"410","Korea, Rep.","000"," World",2023,102392000,,0,2,40,"","For meat","MFN applied duty rates","A","",
"410","Korea, Rep.","000"," World",2023,102399000,,0,2,0,"","Other","MFN applied duty rates","A","",
"410","Korea, Rep.","000"," World",2023,102901000,,0,2,89.1,"","Pure-bred breeding animals","MFN applied duty rates","A","",
"410","Korea, Rep.","000"," World",2023,102909010,,0,2,40,"","For milk","MFN applied duty rates","A","",
"410","Korea, Rep.","000"," World",2023,102909020,,0,2,40,"","For meat","MFN applied duty rates","A","",
"410","Korea, Rep.","000"," World",2023,102909090,,0,2,0,"","Other","MFN applied duty rates","A","",
"410","Korea, Rep.","000"," World",2023,103100000,,0,2,18,"","Pure-bred breeding animals","MFN applied duty rates","A","",
"410","Korea, Rep.","000"," World",2023,103910000,,0,2,18,"","Weighing less than 50 kg","MFN applied duty rates","A","",
"410","Korea, Rep.","000"," World",2023,103920000,,0,2,18,"","Weighing 50 kg or more","MFN applied duty rates","A","",
"410","Korea, Rep.","000"," World",2023,104101000,,0,2,0,"","Pure-bred breeding animals","MFN applied duty rates","A","",
"410","Korea, Rep.","000"," World",2023,104109000,,0,2,8,"","Other","MFN applied duty rates","A","",
"410","Korea, Rep.","000"," World",2023,104201000,,0,2,8,"","Milk goats","MFN applied duty rates","A","",
"410","Korea, Rep.","000"," World",2023,104209000,,0,2,8,"","Other","MFN applied duty rates","A","",
"410","Korea, Rep.","000"," World",2023,105111000,,0,2,9,"","Pure-bred breeding animals","MFN applied duty rates","A","",
"410","Korea, Rep.","000"," World",2023,105119000,,0,2,9,"","Other","MFN applied duty rates","A","",
"410","Korea, Rep.","000"," World",2023,105120000,,0,2,9,"","Turkeys","MFN applied duty rates","A","",
"410","Korea, Rep.","000"," World",2023,105131000,,0,2,0,"","Pure-bred breeding animals","MFN applied duty rates","A","",
