"Reporter","ReporterName","Partner","PartnerName","Year","TL","TLS","Duty Type","Duty Code","AV Duty Rate","Specific Duty Rate","TrfLineDescription","DutyTypeDescription","Duty Nature","AvMethod","Note"
"662","St. Lucia","000"," World",2021,1012100000,,0,2,0,"","Pure-bred breeding animals","MFN duties (Applied)","A",,
"662","St. Lucia","000"," World",2021,1012910000,,0,2,0,"","Race horses, not for breeding","MFN duties (Applied)","A",,
"662","St. Lucia","000"," World",2021,1012990000,,0,2,40,"","Other","MFN duties (Applied)","A",,
"662","St. Lucia","000"," World",2021,1013010000,,0,2,0,"","Pure-bred breeding animals","MFN duties (Applied)","A",,
"662","St. Lucia","000"," World",2021,1013090000,,0,2,40,"","Other","MFN duties (Applied)","A",,
"662","St. Lucia","000"," World",2021,1.019e+09,,0,2,40,"","Other","MFN duties (Applied)","A",,
"662","St. Lucia","000"," World",2021,1022110000,,0,2,0,"","Bulls","MFN duties (Applied)","A",,
"662","St. Lucia","000"," World",2021,1022120000,,0,2,0,"","Cows","MFN duties (Applied)","A",,
"662","St. Lucia","000"," World",2021,1022910000,,0,2,0,"","Bulls, for breeding","MFN duties (Applied)","A",,
"662","St. Lucia","000"," World",2021,1022920000,,0,2,0,"","Bulls, for rearing, weighing not more than 270 kg","MFN duties (Applied)","A",,
"662","St. Lucia","000"," World",2021,1022930000,,0,2,40,"","Other bulls","MFN duties (Applied)","A",,
"662","St. Lucia","000"," World",2021,1022940000,,0,2,0,"","Cows, for breeding","MFN duties (Applied)","A",,
"662","St. Lucia","000"," World",2021,1022950000,,0,2,0,"","Cows, for rearing, weighing not more than 270 kg","MFN duties (Applied)","A",,
"662","St. Lucia","000"," World",2021,1022960000,,0,2,40,"","Other cows","MFN duties (Applied)","A",,
"662","St. Lucia","000"," World",2021,1023100000,,0,2,0,"","Pure-bred breeding animals","MFN duties (Applied)","A",,
"662","St. Lucia","000"," World",2021,1023900000,,0,2,40,"","Other","MFN duties (Applied)","A",,
"662","St. Lucia","000"," World",2021,1.029e+09,,0,2,40,"","Other","MFN duties (Applied)","A",,
"662","St. Lucia","000"," World",2021,1.031e+09,,0,2,0,"","Purebred breeding animals","MFN duties (Applied)","A",,
"662","St. Lucia","000"," World",2021,1039110000,,0,2,0,"","For breeding","MFN duties (Applied)","A",,
"662","St. Lucia","000"," World",2021,1039190000,,0,2,40,"","Other","MFN duties (Applied)","A",,
"662","St. Lucia","000"," World",2021,1039210000,,0,2,0,"","For breeding","MFN duties (Applied)","A",,
"662","St. Lucia","000"," World",2021,1039290000,,0,2,40,"","Other","MFN duties (Applied)","A",,
"662","St. Lucia","000"," World",2021,1041010000,,0,2,0,"","For breeding","MFN duties (Applied)","A",,
"662","St. Lucia","000"," World",2021,1041020000,,0,2,40,"","For rearing","MFN duties (Applied)","A",,
"662","St. Lucia","000"," World",2021,1041090000,,0,2,40,"","Other","MFN duties (Applied)","A",,
"662","St. Lucia","000"," World",2021,1042010000,,0,2,0,"","For breeding","MFN duties (Applied)","A",,
"662","St. Lucia","000"," World",2021,1042020000,,0,2,40,"","For rearing","MFN duties (Applied)","A",,
"662","St. Lucia","000"," World",2021,1042090000,,0,2,40,"","Other","MFN duties (Applied)","A",,
"662","St. Lucia","000"," World",2021,1051110000,,0,2,0,"","For breeding","MFN duties (Applied)","A",,
"662","St. Lucia","000"," World",2021,1051120000,,0,2,40,"","For rearing","MFN duties (Applied)","A",,
"662","St. Lucia","000"," World",2021,1051190000,,0,2,40,"","Other","MFN duties (Applied)","A",,
"662","St. Lucia","000"," World",2021,1051210000,,0,2,0,"","For breeding","MFN duties (Applied)","A",,
"662","St. Lucia","000"," World",2021,1051220000,,0,2,40,"","For rearing","MFN duties (Applied)","A",,
"662","St. Lucia","000"," World",2021,1051290000,,0,2,40,"","Other","MFN duties (Applied)","A",,
"662","St. Lucia","000"," World",2021,1051310000,,0,2,0,"","For breeding","MFN duties (Applied)","A",,
"662","St. Lucia","000"," World",2021,1051320000,,0,2,40,"","For rearing","MFN duties (Applied)","A",,
"662","St. Lucia","000"," World",2021,1051390000,,0,2,40,"","Other","MFN duties (Applied)","A",,
"662","St. Lucia","000"," World",2021,1051410000,,0,2,0,"","For breeding","MFN duties (Applied)","A",,
"662","St. Lucia","000"," World",2021,1051420000,,0,2,40,"","For rearing","MFN duties (Applied)","A",,
"662","St. Lucia","000"," World",2021,1051490000,,0,2,40,"","Other","MFN duties (Applied)","A",,
"662","St. Lucia","000"," World",2021,1051510000,,0,2,0,"","For breeding","MFN duties (Applied)","A",,
"662","St. Lucia","000"," World",2021,1051520000,,0,2,40,"","For rearing","MFN duties (Applied)","A",,
"662","St. Lucia","000"," World",2021,1051590000,,0,2,40,"","Other","MFN duties (Applied)","A",,
"662","St. Lucia","000"," World",2021,1059410000,,0,2,0,"","Cocks for breeding","MFN duties (Applied)","A",,
"662","St. Lucia","000"," World",2021,1059420000,,0,2,40,"","Cocks for rearing","MFN duties (Applied)","A",,
"662","St. Lucia","000"," World",2021,1059430000,,0,2,0,"","Hens for breeding","MFN duties (Applied)","A",,
"662","St. Lucia","000"," World",2021,1059440000,,0,2,40,"","Hens for rearing","MFN duties (Applied)","A",,
