"Reporter","ReporterName","Partner","PartnerName","Year","TL","TLS","Duty Type","Duty Code","AV Duty Rate","Specific Duty Rate","TrfLineDescription","DutyTypeDescription","Duty Nature","AvMethod","Note"
"670","St. Vincent and the Grenadines","000"," World",2020,1.011e+09,,0,2,0,,"PURE-BRED BREEDING ANIMALS","MFN duties (Applied)","A",,""
"670","St. Vincent and the Grenadines","000"," World",2020,1019010000,,0,2,0,,"RACE HORSES, NOT FOR BREEDING.","MFN duties (Applied)","A",,""
"670","St. Vincent and the Grenadines","000"," World",2020,1019090000,,0,2,40,,"OTHER","MFN duties (Applied)","A",,""
"670","St. Vincent and the Grenadines","000"," World",2020,1021010000,,0,2,0,,"BULLS","MFN duties (Applied)","A",,""
"670","St. Vincent and the Grenadines","000"," World",2020,1021020000,,0,2,0,,"COWS","MFN duties (Applied)","A",,""
"670","St. Vincent and the Grenadines","000"," World",2020,1029010000,,0,2,0,,"BULLS, FOR BREEDING","MFN duties (Applied)","A",,""
"670","St. Vincent and the Grenadines","000"," World",2020,1029020000,,0,2,0,,"BULLS, FOR REARING, WEIGHING NOT MORE THAN 270KG","MFN duties (Applied)","A",,""
"670","St. Vincent and the Grenadines","000"," World",2020,1029030000,,0,2,40,,"OTHER, BULLS","MFN duties (Applied)","A",,""
"670","St. Vincent and the Grenadines","000"," World",2020,1029040000,,0,2,0,,"COWS, FOR BREEDING","MFN duties (Applied)","A",,""
"670","St. Vincent and the Grenadines","000"," World",2020,1029050000,,0,2,0,,"COWS, FOR REARING, WEIGHING NOT MORE THAN 270KG","MFN duties (Applied)","A",,""
"670","St. Vincent and the Grenadines","000"," World",2020,1029060000,,0,2,0,,"OTHER,COWS","MFN duties (Applied)","A",,""
"670","St. Vincent and the Grenadines","000"," World",2020,1.031e+09,,0,2,0,,"PURE-BRED BREEDING ANIMALS","MFN duties (Applied)","A",,""
"670","St. Vincent and the Grenadines","000"," World",2020,1039110000,,0,2,0,,"FOR BREEDING","MFN duties (Applied)","A",,""
"670","St. Vincent and the Grenadines","000"," World",2020,1039190000,,0,2,40,,"OTHER","MFN duties (Applied)","A",,""
"670","St. Vincent and the Grenadines","000"," World",2020,1039210000,,0,2,0,,"FOR BREEDING","MFN duties (Applied)","A",,""
"670","St. Vincent and the Grenadines","000"," World",2020,1039290000,,0,2,40,,"OTHER","MFN duties (Applied)","A",,""
"670","St. Vincent and the Grenadines","000"," World",2020,1041010000,,0,2,0,,"FOR BREEDING","MFN duties (Applied)","A",,""
"670","St. Vincent and the Grenadines","000"," World",2020,1041020000,,0,2,40,,"FOR REARING","MFN duties (Applied)","A",,""
"670","St. Vincent and the Grenadines","000"," World",2020,1041090000,,0,2,40,,"OTHER","MFN duties (Applied)","A",,""
"670","St. Vincent and the Grenadines","000"," World",2020,1042010000,,0,2,0,,"FOR BREEDING","MFN duties (Applied)","A",,""
"670","St. Vincent and the Grenadines","000"," World",2020,1042020000,,0,2,40,,"FOR REARING","MFN duties (Applied)","A",,""
"670","St. Vincent and the Grenadines","000"," World",2020,1042090000,,0,2,40,,"OTHER","MFN duties (Applied)","A",,""
"670","St. Vincent and the Grenadines","000"," World",2020,1051110000,,0,2,0,,"FOR BREEDING","MFN duties (Applied)","A",,""
"670","St. Vincent and the Grenadines","000"," World",2020,1051120000,,0,2,40,,"FOR REARING","MFN duties (Applied)","A",,""
"670","St. Vincent and the Grenadines","000"," World",2020,1051210000,,0,2,0,,"FOR BREEDING","MFN duties (Applied)","A",,""
"670","St. Vincent and the Grenadines","000"," World",2020,1051220000,,0,2,40,,"FOR REARING","MFN duties (Applied)","A",,""
"670","St. Vincent and the Grenadines","000"," World",2020,1051910000,,0,2,0,,"FOR BREEDING","MFN duties (Applied)","A",,""
"670","St. Vincent and the Grenadines","000"," World",2020,1051920000,,0,2,40,,"FOR REARING","MFN duties (Applied)","A",,""
"670","St. Vincent and the Grenadines","000"," World",2020,1051990000,,0,2,40,,"OTHER","MFN duties (Applied)","A",,""
"670","St. Vincent and the Grenadines","000"," World",2020,1059410000,,0,2,0,,"COCKS FOR BREEDING","MFN duties (Applied)","A",,""
"670","St. Vincent and the Grenadines","000"," World",2020,1059420000,,0,2,40,,"COCKS FOR REARING","MFN duties (Applied)","A",,""
"670","St. Vincent and the Grenadines","000"," World",2020,1059430000,,0,2,0,,"HENS FOR BREEDING","MFN duties (Applied)","A",,""
"670","St. Vincent and the Grenadines","000"," World",2020,1059440000,,0,2,40,,"HENS FOR REARING","MFN duties (Applied)","A",,""
"670","St. Vincent and the Grenadines","000"," World",2020,1059490000,,0,2,40,,"OTHER","MFN duties (Applied)","A",,""
"670","St. Vincent and the Grenadines","000"," World",2020,1059910000,,0,2,0,,"FOR BREEDING","MFN duties (Applied)","A",,""
"670","St. Vincent and the Grenadines","000"," World",2020,1059920000,,0,2,40,,"FOR REARING","MFN duties (Applied)","A",,""
"670","St. Vincent and the Grenadines","000"," World",2020,1059990000,,0,2,40,,"OTHER","MFN duties (Applied)","A",,""
"670","St. Vincent and the Grenadines","000"," World",2020,1061110000,,0,2,40,,"MONKEYS","MFN duties (Applied)","A",,""
"670","St. Vincent and the Grenadines","000"," World",2020,1061190000,,0,2,40,,"OTHER","MFN duties (Applied)","A",,""
"670","St. Vincent and the Grenadines","000"," World",2020,1061200000,,0,2,40,,"WHALES, DOLPHINS AND PORPOISES (MAMMALS OF THE ORDER CETACEA);","MFN duties (Applied)","A",,""
"670","St. Vincent and the Grenadines","000"," World",2020,1061900000,,0,2,40,,"OTHER","MFN duties (Applied)","A",,""
"670","St. Vincent and the Grenadines","000"," World",2020,1062010000,,0,2,40,,"TURTLES","MFN duties (Applied)","A",,""
"670","St. Vincent and the Grenadines","000"," World",2020,1062090000,,0,2,40,,"OTHER","MFN duties (Applied)","A",,""
"670","St. Vincent and the Grenadines","000"," World",2020,1063100000,,0,2,40,,"BIRDS OF PREY","MFN duties (Applied)","A",,""
"670","St. Vincent and the Grenadines","000"," World",2020,1063200000,,0,2,40,,"PSITTACIFORMES (INCLUDING PARROTS, PARAKEETS, MACAWS AND COCKATOOS).","MFN duties (Applied)","A",,""
"670","St. Vincent and the Grenadines","000"," World",2020,1063910000,,0,2,40,,"PIGEONS","MFN duties (Applied)","A",,""
"670","St. Vincent and the Grenadines","000"," World",2020,1063990000,,0,2,40,,"OTHER BIRDS","MFN duties (Applied)","A",,""
"670","St. Vincent and the Grenadines","000"," World",2020,1069010000,,0,2,0,,"BEES FOR BREEDING","MFN duties (Applied)","A",,""
"670","St. Vincent and the Grenadines","000"," World",2020,1069030000,,0,2,40,,"DOGS","MFN duties (Applied)","A",,""
"670","St. Vincent and the Grenadines","000"," World",2020,1069040000,,0,2,40,,"CATS","MFN duties (Applied)","A",,""
"670","St. Vincent and the Grenadines","000"," World",2020,1069090000,,0,2,40,,"OTHER","MFN duties (Applied)","A",,""
"670","St. Vincent and the Grenadines","000"," World",2020,2.011e+09,,0,2,5,,"CARCASSES AND HALF-CARCASSES","MFN duties (Applied)","A",,""
"670","St. Vincent and the Grenadines","000"," World",2020,2012010000,,0,2,5,,"BRISKET","MFN duties (Applied)","A",,""
"670","St. Vincent and the Grenadines","000"," World",2020,2012090000,,0,2,5,,"OTHER","MFN duties (Applied)","A",,""
"670","St. Vincent and the Grenadines","000"," World",2020,2013010000,,0,2,5,,"TENDERLOIN","MFN duties (Applied)","A",,""
"670","St. Vincent and the Grenadines","000"," World",2020,2013020000,,0,2,5,,"SIRLOIN","MFN duties (Applied)","A",,""
"670","St. Vincent and the Grenadines","000"," World",2020,2013030000,,0,2,5,,"MINCED(GROUND)","MFN duties (Applied)","A",,""
