"Reporter","ReporterName","Partner","PartnerName","Year","TL","TLS","Duty Type","Duty Code","AV Duty Rate","Specific Duty Rate","TrfLineDescription","DutyTypeDescription","Duty Nature","AvMethod","Note"
"740","Suriname","000"," World",2018,1011000,,0,2,0,,"Pure-bred breeding animals","MFN applied duty rates","A",,
"740","Suriname","000"," World",2018,1019010,,0,2,40,,"Race horses, not for breeding","MFN applied duty rates","A",,
"740","Suriname","000"," World",2018,1019090,,0,2,40,,"Other","MFN applied duty rates","A",,
"740","Suriname","000"," World",2018,1021010,,0,2,0,,"Bulls","MFN applied duty rates","A",,
"740","Suriname","000"," World",2018,1021020,,0,2,0,,"Cows","MFN applied duty rates","A",,
"740","Suriname","000"," World",2018,1029010,,0,2,0,,"Bulls, for breeding","MFN applied duty rates","A",,
"740","Suriname","000"," World",2018,1029020,,0,2,0,,"Bulls, for rearing, weighing not more than 270 kg","MFN applied duty rates","A",,
"740","Suriname","000"," World",2018,1029030,,0,2,40,,"Other, bulls","MFN applied duty rates","A",,
"740","Suriname","000"," World",2018,1029040,,0,2,0,,"Cows, for breeding","MFN applied duty rates","A",,
"740","Suriname","000"," World",2018,1029050,,0,2,0,,"Cows, for rearing, weighing not more than 270 kg","MFN applied duty rates","A",,
"740","Suriname","000"," World",2018,1029060,,0,2,40,,"Other, cows","MFN applied duty rates","A",,
"740","Suriname","000"," World",2018,1031000,,0,2,0,,"Pure-bred breeding animals","MFN applied duty rates","A",,
"740","Suriname","000"," World",2018,1039110,,0,2,0,,"For breeding","MFN applied duty rates","A",,
"740","Suriname","000"," World",2018,1039190,,0,2,40,,"Other","MFN applied duty rates","A",,
"740","Suriname","000"," World",2018,1039210,,0,2,0,,"For breeding","MFN applied duty rates","A",,
"740","Suriname","000"," World",2018,1039290,,0,2,40,,"Other","MFN applied duty rates","A",,
"740","Suriname","000"," World",2018,1041010,,0,2,0,,"For breeding","MFN applied duty rates","A",,
"740","Suriname","000"," World",2018,1041020,,0,2,40,,"For rearing","MFN applied duty rates","A",,
"740","Suriname","000"," World",2018,1041090,,0,2,40,,"Other","MFN applied duty rates","A",,
"740","Suriname","000"," World",2018,1042010,,0,2,0,,"For breeding","MFN applied duty rates","A",,
"740","Suriname","000"," World",2018,1042020,,0,2,40,,"For rearing","MFN applied duty rates","A",,
"740","Suriname","000"," World",2018,1042090,,0,2,40,,"Other","MFN applied duty rates","A",,
"740","Suriname","000"," World",2018,1051110,,0,2,0,,"For breeding","MFN applied duty rates","A",,
"740","Suriname","000"," World",2018,1051120,,0,2,40,,"For rearing","MFN applied duty rates","A",,
"740","Suriname","000"," World",2018,1051210,,0,2,0,,"For breeding","MFN applied duty rates","A",,
"740","Suriname","000"," World",2018,1051220,,0,2,40,,"For rearing","MFN applied duty rates","A",,
"740","Suriname","000"," World",2018,1051910,,0,2,0,,"For breeding","MFN applied duty rates","A",,
"740","Suriname","000"," World",2018,1051920,,0,2,40,,"For rearing","MFN applied duty rates","A",,
"740","Suriname","000"," World",2018,1051990,,0,2,40,,"Other","MFN applied duty rates","A",,
"740","Suriname","000"," World",2018,1059410,,0,2,0,,"Cocks for breeding","MFN applied duty rates","A",,
"740","Suriname","000"," World",2018,1059420,,0,2,40,,"Cocks for rearing","MFN applied duty rates","A",,
"740","Suriname","000"," World",2018,1059430,,0,2,0,,"Hens for breeding","MFN applied duty rates","A",,
"740","Suriname","000"," World",2018,1059440,,0,2,40,,"Hens for rearing","MFN applied duty rates","A",,
"740","Suriname","000"," World",2018,1059490,,0,2,40,,"Other","MFN applied duty rates","A",,
"740","Suriname","000"," World",2018,1059910,,0,2,0,,"For breeding","MFN applied duty rates","A",,
"740","Suriname","000"," World",2018,1059920,,0,2,40,,"For rearing","MFN applied duty rates","A",,
"740","Suriname","000"," World",2018,1059990,,0,2,40,,"Other","MFN applied duty rates","A",,
"740","Suriname","000"," World",2018,1061110,,0,2,40,,"Monkeys","MFN applied duty rates","A",,
"740","Suriname","000"," World",2018,1061190,,0,2,40,,"Other","MFN applied duty rates","A",,
"740","Suriname","000"," World",2018,1061200,,0,2,40,,"Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia)","MFN applied duty rates","A",,
"740","Suriname","000"," World",2018,1061910,,0,2,40,,"Dogs","MFN applied duty rates","A",,
"740","Suriname","000"," World",2018,1061920,,0,2,40,,"Cats","MFN applied duty rates","A",,
"740","Suriname","000"," World",2018,1061990,,0,2,40,,"Other","MFN applied duty rates","A",,
"740","Suriname","000"," World",2018,1062010,,0,2,40,,"Turtles","MFN applied duty rates","A",,
"740","Suriname","000"," World",2018,1062090,,0,2,40,,"Other","MFN applied duty rates","A",,
"740","Suriname","000"," World",2018,1063100,,0,2,40,,"Birds of prey","MFN applied duty rates","A",,
"740","Suriname","000"," World",2018,1063200,,0,2,40,,"Psittaciformes (including parrots, parakeets, macaws and cockatoos).","MFN applied duty rates","A",,
"740","Suriname","000"," World",2018,1063910,,0,2,40,,"Pigeons","MFN applied duty rates","A",,
"740","Suriname","000"," World",2018,1063990,,0,2,40,,"Other birds","MFN applied duty rates","A",,
"740","Suriname","000"," World",2018,1069010,,0,2,0,,"Bees for breeding","MFN applied duty rates","A",,
"740","Suriname","000"," World",2018,1069090,,0,2,40,,"Other","MFN applied duty rates","A",,
"740","Suriname","000"," World",2018,2011000,,0,2,20,,"Carcasses and half-carcasses","MFN applied duty rates","A",,
"740","Suriname","000"," World",2018,2012010,,0,2,20,,"Brisket","MFN applied duty rates","A",,
"740","Suriname","000"," World",2018,2012090,,0,2,20,,"Other","MFN applied duty rates","A",,
"740","Suriname","000"," World",2018,2013010,,0,2,20,,"Tenderloin","MFN applied duty rates","A",,
"740","Suriname","000"," World",2018,2013020,,0,2,20,,"Sirloin","MFN applied duty rates","A",,
"740","Suriname","000"," World",2018,2013030,,0,2,20,,"Minced (Ground)","MFN applied duty rates","A",,
"740","Suriname","000"," World",2018,2013090,,0,2,20,,"Other","MFN applied duty rates","A",,
"740","Suriname","000"," World",2018,2021000,,0,2,20,,"Carcasses and half-carcasses","MFN applied duty rates","A",,
"740","Suriname","000"," World",2018,2022010,,0,2,20,,"Brisket","MFN applied duty rates","A",,
"740","Suriname","000"," World",2018,2022090,,0,2,20,,"Other","MFN applied duty rates","A",,
"740","Suriname","000"," World",2018,2023010,,0,2,20,,"Tenderloin","MFN applied duty rates","A",,
"740","Suriname","000"," World",2018,2023020,,0,2,20,,"Sirloin","MFN applied duty rates","A",,
"740","Suriname","000"," World",2018,2023030,,0,2,20,,"Minced (Ground)","MFN applied duty rates","A",,
"740","Suriname","000"," World",2018,2023090,,0,2,20,,"Other","MFN applied duty rates","A",,
"740","Suriname","000"," World",2018,2031100,,0,2,20,,"Carcasses and half-carcasses","MFN applied duty rates","A",,
"740","Suriname","000"," World",2018,2031200,,0,2,20,,"Hams, shoulders and cuts thereof with bone in","MFN applied duty rates","A",,
"740","Suriname","000"," World",2018,2031900,,0,2,20,,"Other","MFN applied duty rates","A",,
"740","Suriname","000"," World",2018,2032100,,0,2,20,,"Carcasses and half-carcasses","MFN applied duty rates","A",,
"740","Suriname","000"," World",2018,2032200,,0,2,20,,"Hams, shoulders and cuts thereof with bone in","MFN applied duty rates","A",,
"740","Suriname","000"," World",2018,2032900,,0,2,20,,"Other","MFN applied duty rates","A",,
"740","Suriname","000"," World",2018,2041000,,0,2,20,,"Carcasses and half-carcasses of lamb, fresh or chilled","MFN applied duty rates","A",,
"740","Suriname","000"," World",2018,2042100,,0,2,20,,"Carcasses and half-carcasses","MFN applied duty rates","A",,
"740","Suriname","000"," World",2018,2042200,,0,2,20,,"Other cuts with bone in","MFN applied duty rates","A",,
"740","Suriname","000"," World",2018,2042300,,0,2,20,,"Boneless","MFN applied duty rates","A",,
"740","Suriname","000"," World",2018,2043000,,0,2,20,,"Carcasses and half-carcasses of lamb, frozen","MFN applied duty rates","A",,
"740","Suriname","000"," World",2018,2044100,,0,2,20,,"Carcasses and half-carcasses","MFN applied duty rates","A",,
