"Reporter","ReporterName","Partner","PartnerName","Year","TL","TLS","Duty Type","Duty Code","AV Duty Rate","Specific Duty Rate","TrfLineDescription","DutyTypeDescription","Duty Nature","AvMethod","Note"
"158","Taiwan, China","000"," World",2023,1012100,,0,2,2.5,"","Live horses, pure-bred breeding animals","MFN applied duty rates","A",,
"158","Taiwan, China","000"," World",2023,1012900,,0,2,2.5,"","Other live horses","MFN applied duty rates","A",,
"158","Taiwan, China","000"," World",2023,1013000,,0,2,2.5,"","Live asses","MFN applied duty rates","A",,
"158","Taiwan, China","000"," World",2023,1019000,,0,2,2.5,"","Live mules and hinnies","MFN applied duty rates","A",,
"158","Taiwan, China","000"," World",2023,1022100,,0,2,2.5,"","Live cattle, pure-bred breeding animals","MFN applied duty rates","A",,
"158","Taiwan, China","000"," World",2023,1022900,,0,2,5,"","Other live cattle","MFN applied duty rates","A",,
"158","Taiwan, China","000"," World",2023,1023100,,0,2,2.5,"","Live buffalo, pure-bred breeding animals","MFN applied duty rates","A",,
"158","Taiwan, China","000"," World",2023,1023900,,0,2,5,"","Other live buffalo","MFN applied duty rates","A",,
"158","Taiwan, China","000"," World",2023,1029010,,0,2,2.5,"","Other live bovine animals, pure-bred breeding animals","MFN applied duty rates","A",,
"158","Taiwan, China","000"," World",2023,1029090,,0,2,5,"","Other live bovine animals","MFN applied duty rates","A",,
"158","Taiwan, China","000"," World",2023,1031000,,0,2,2.5,"","Live swine, pure-bred breeding animals","MFN applied duty rates","A",,
"158","Taiwan, China","000"," World",2023,1039100,,0,2,5,"","Live swine, weighing less than 50 kg, other than pure-bred breeding animals","MFN applied duty rates","A",,
"158","Taiwan, China","000"," World",2023,1039200,,0,2,5,"","Live swine, weighing 50kg or more, other than pure-bred breeding animals","MFN applied duty rates","A",,
"158","Taiwan, China","000"," World",2023,1041000,,0,2,8.5,"","Live sheep","MFN applied duty rates","A",,
"158","Taiwan, China","000"," World",2023,1042000,,0,2,8.5,"","Live goats","MFN applied duty rates","A",,
"158","Taiwan, China","000"," World",2023,1051110,,0,2,0,"","Live fowls, pure-bred breeding animals, weighing not more than 185 g","MFN applied duty rates","A",,
"158","Taiwan, China","000"," World",2023,1051120,,0,2,4,"","Live fowls, other than pure-bred breeding animals, weighing not more than 185 g","MFN applied duty rates","A",,
"158","Taiwan, China","000"," World",2023,1051210,,0,2,0,"","Live turkeys, pure-bred breeding animals, weighing not more than 185 g","MFN applied duty rates","A",,
"158","Taiwan, China","000"," World",2023,1051220,,0,2,4,"","Live turkeys, other than pure-bred breeding animals, weighing not more than 185 g","MFN applied duty rates","A",,
"158","Taiwan, China","000"," World",2023,1051310,,0,2,0,"","Live ducks, pure-bred breeding animals, weighing not more than 185 g","MFN applied duty rates","A",,
"158","Taiwan, China","000"," World",2023,1051390,,0,2,4,"","Live ducks, other than pure-bred breeding animals, weighing not more than 185 g","MFN applied duty rates","A",,
"158","Taiwan, China","000"," World",2023,1051410,,0,2,0,"","Live geese, pure-bred breeding animals, weighing not more than 185 g","MFN applied duty rates","A",,
"158","Taiwan, China","000"," World",2023,1051490,,0,2,4,"","Live geese, other than pure-bred breeding animals, weighing not more than 185 g","MFN applied duty rates","A",,
"158","Taiwan, China","000"," World",2023,1051510,,0,2,0,"","Live guinea fowls, pure-bred breeding animals, weighing not more than 185 g","MFN applied duty rates","A",,
"158","Taiwan, China","000"," World",2023,1051590,,0,2,4,"","Live guinea fowls, other than pure-bred breeding animals, weighing not more than 185 g","MFN applied duty rates","A",,
"158","Taiwan, China","000"," World",2023,1059410,,0,2,0,"","Live fowls of the species Gallus domesticus, pure-bred breeding animals, weighing more than185 g","MFN applied duty rates","A",,
