"Reporter","ReporterName","Partner","PartnerName","Year","TL","TLS","Duty Type","Duty Code","AV Duty Rate","Specific Duty Rate","TrfLineDescription","DutyTypeDescription","Duty Nature","AvMethod","Note"
"834","Tanzania","000"," World",2022,1012100,,0,2,0,"","-- Pure-bred breeding animals","MFN applied duty rates","A",,
"834","Tanzania","000"," World",2022,1012900,,0,2,25,"","-- Other","MFN applied duty rates","A",,
"834","Tanzania","000"," World",2022,1013010,,0,2,0,"","--- Pure-bred breeding animals","MFN applied duty rates","A",,
"834","Tanzania","000"," World",2022,1013090,,0,2,25,"","--- Other","MFN applied duty rates","A",,
"834","Tanzania","000"," World",2022,1019010,,0,2,0,"","--- Pure-bred breeding animals","MFN applied duty rates","A",,
"834","Tanzania","000"," World",2022,1019090,,0,2,25,"","--- Other","MFN applied duty rates","A",,
"834","Tanzania","000"," World",2022,1022100,,0,2,0,"","-- Pure-bred breeding animals","MFN applied duty rates","A",,
"834","Tanzania","000"," World",2022,1022900,,0,2,25,"","-- Other","MFN applied duty rates","A",,
"834","Tanzania","000"," World",2022,1023100,,0,2,0,"","-- Pure-bred breeding animals","MFN applied duty rates","A",,
"834","Tanzania","000"," World",2022,1023900,,0,2,25,"","-- Other","MFN applied duty rates","A",,
"834","Tanzania","000"," World",2022,1029010,,0,2,0,"","--- Pure-bred breeding animals","MFN applied duty rates","A",,
"834","Tanzania","000"," World",2022,1029090,,0,2,25,"","--- Other","MFN applied duty rates","A",,
"834","Tanzania","000"," World",2022,1031000,,0,2,0,"","- Pure-bred breeding animals","MFN applied duty rates","A",,
"834","Tanzania","000"," World",2022,1039100,,0,2,25,"","-- Weighing less than 50 kg","MFN applied duty rates","A",,
"834","Tanzania","000"," World",2022,1039200,,0,2,25,"","-- Weighing 50 kg or more","MFN applied duty rates","A",,
"834","Tanzania","000"," World",2022,1041010,,0,2,0,"","--- Pure-bred breeding animals","MFN applied duty rates","A",,
"834","Tanzania","000"," World",2022,1041090,,0,2,25,"","--- Other","MFN applied duty rates","A",,
"834","Tanzania","000"," World",2022,1042010,,0,2,0,"","--- Pure-bred breeding animals","MFN applied duty rates","A",,
"834","Tanzania","000"," World",2022,1042090,,0,2,25,"","---Other","MFN applied duty rates","A",,
"834","Tanzania","000"," World",2022,1051100,,0,2,0,"","-- Fowls of the species Gallus domesticus","MFN applied duty rates","A",,
"834","Tanzania","000"," World",2022,1051200,,0,2,0,"","-- Turkeys:","MFN applied duty rates","A",,
"834","Tanzania","000"," World",2022,1051300,,0,2,25,"","-- Ducks","MFN applied duty rates","A",,
"834","Tanzania","000"," World",2022,1051400,,0,2,25,"","-- Geese","MFN applied duty rates","A",,
"834","Tanzania","000"," World",2022,1051500,,0,2,25,"","-- Guinea fowls","MFN applied duty rates","A",,
"834","Tanzania","000"," World",2022,1059400,,0,2,25,"","-- Fowls of the species Gallus domesticus","MFN applied duty rates","A",,
"834","Tanzania","000"," World",2022,1059900,,0,2,25,"","-- Other","MFN applied duty rates","A",,
"834","Tanzania","000"," World",2022,1061100,,0,2,25,"","-- Primates","MFN applied duty rates","A",,
"834","Tanzania","000"," World",2022,1061200,,0,2,25,"","-- Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)","MFN applied duty rates","A",,
"834","Tanzania","000"," World",2022,1061300,,0,2,25,"","-- Camels and other camelids (Camelidae)","MFN applied duty rates","A",,
"834","Tanzania","000"," World",2022,1061400,,0,2,25,"","-- Rabbits and hares","MFN applied duty rates","A",,
"834","Tanzania","000"," World",2022,1061900,,0,2,25,"","-- Other","MFN applied duty rates","A",,
"834","Tanzania","000"," World",2022,1062000,,0,2,25,"","- Reptiles (including snakes and turtles)","MFN applied duty rates","A",,
"834","Tanzania","000"," World",2022,1063100,,0,2,25,"","-- Birds of prey","MFN applied duty rates","A",,
"834","Tanzania","000"," World",2022,1063200,,0,2,25,"","-- Psittaciformes (including parrots, parakeets, macaws and cockatoos)","MFN applied duty rates","A",,
"834","Tanzania","000"," World",2022,1063300,,0,2,25,"","-- Ostriches; emus (Dromaius novaehollandiae)","MFN applied duty rates","A",,
"834","Tanzania","000"," World",2022,1063900,,0,2,25,"","-- Other","MFN applied duty rates","A",,
"834","Tanzania","000"," World",2022,1064100,,0,2,25,"","-- Bees","MFN applied duty rates","A",,
"834","Tanzania","000"," World",2022,1064900,,0,2,25,"","-- Other","MFN applied duty rates","A",,
"834","Tanzania","000"," World",2022,1069000,,0,2,25,"","- Other","MFN applied duty rates","A",,
"834","Tanzania","000"," World",2022,2011000,,0,2,35,"","- Carcasses and half-carcasses","MFN applied duty rates","A",,
"834","Tanzania","000"," World",2022,2012000,,0,2,35,"","- Other cuts with bone in","MFN applied duty rates","A",,
"834","Tanzania","000"," World",2022,2013000,,0,2,35,"","- Boneless","MFN applied duty rates","A",,
"834","Tanzania","000"," World",2022,2021000,,0,2,35,"","- Carcasses and half-carcasses","MFN applied duty rates","A",,
"834","Tanzania","000"," World",2022,2022000,,0,2,35,"","- Other cuts with bone in","MFN applied duty rates","A",,
"834","Tanzania","000"," World",2022,2023000,,0,2,35,"","- Boneless","MFN applied duty rates","A",,
"834","Tanzania","000"," World",2022,2031100,,0,2,35,"","-- Carcasses and half-carcasses","MFN applied duty rates","A",,
"834","Tanzania","000"," World",2022,2031200,,0,2,35,"","-- Hams, shoulders and cuts thereof, with bone in","MFN applied duty rates","A",,
"834","Tanzania","000"," World",2022,2031900,,0,2,35,"","-- Other","MFN applied duty rates","A",,
"834","Tanzania","000"," World",2022,2032100,,0,2,35,"","-- Carcasses and half-carcasses","MFN applied duty rates","A",,
"834","Tanzania","000"," World",2022,2032200,,0,2,35,"","-- Hams, shoulders and cuts thereof, with bone in","MFN applied duty rates","A",,
"834","Tanzania","000"," World",2022,2032900,,0,2,35,"","-- Other","MFN applied duty rates","A",,
"834","Tanzania","000"," World",2022,2041000,,0,2,35,"","- Carcasses and half-carcasses of lamb, fresh or chilled","MFN applied duty rates","A",,
"834","Tanzania","000"," World",2022,2042100,,0,2,35,"","-- Carcasses and half-carcasses","MFN applied duty rates","A",,
"834","Tanzania","000"," World",2022,2042200,,0,2,35,"","-- Other cuts with bone in","MFN applied duty rates","A",,
"834","Tanzania","000"," World",2022,2042300,,0,2,35,"","-- Boneless","MFN applied duty rates","A",,
"834","Tanzania","000"," World",2022,2043000,,0,2,35,"","- Carcasses and half-carcasses of lamb, frozen","MFN applied duty rates","A",,
"834","Tanzania","000"," World",2022,2044100,,0,2,35,"","-- Carcasses and half-carcasses","MFN applied duty rates","A",,
"834","Tanzania","000"," World",2022,2044200,,0,2,35,"","-- Other cuts with bone in","MFN applied duty rates","A",,
"834","Tanzania","000"," World",2022,2044300,,0,2,35,"","-- Boneless","MFN applied duty rates","A",,
"834","Tanzania","000"," World",2022,2045000,,0,2,35,"","- Meat of goats","MFN applied duty rates","A",,
"834","Tanzania","000"," World",2022,2050000,,0,2,35,"","Meat of horses, asses, mules or hinnies, fresh, chilled or frozen.","MFN applied duty rates","A",,
"834","Tanzania","000"," World",2022,2061000,,0,2,35,"","- Of bovine animals, fresh or chilled","MFN applied duty rates","A",,
"834","Tanzania","000"," World",2022,2062100,,0,2,35,"","-- Tongues","MFN applied duty rates","A",,
"834","Tanzania","000"," World",2022,2062200,,0,2,35,"","-- Livers","MFN applied duty rates","A",,
"834","Tanzania","000"," World",2022,2062900,,0,2,35,"","-- Other","MFN applied duty rates","A",,
"834","Tanzania","000"," World",2022,2063000,,0,2,35,"","- Of swine, fresh or chilled","MFN applied duty rates","A",,
"834","Tanzania","000"," World",2022,2064100,,0,2,35,"","-- Livers","MFN applied duty rates","A",,
"834","Tanzania","000"," World",2022,2064900,,0,2,35,"","-- Other","MFN applied duty rates","A",,
"834","Tanzania","000"," World",2022,2068000,,0,2,35,"","- Other, fresh or chilled","MFN applied duty rates","A",,
"834","Tanzania","000"," World",2022,2069000,,0,2,35,"","- Other, frozen","MFN applied duty rates","A",,
"834","Tanzania","000"," World",2022,2071100,,0,2,35,"","-- Not cut in pieces, fresh or chilled","MFN applied duty rates","A",,
"834","Tanzania","000"," World",2022,2071200,,0,2,35,"","-- Not cut in pieces, frozen","MFN applied duty rates","A",,
"834","Tanzania","000"," World",2022,2071300,,0,2,35,"","-- Cuts and offal, fresh or chilled","MFN applied duty rates","A",,
"834","Tanzania","000"," World",2022,2071400,,0,2,35,"","-- Cuts and offal, frozen","MFN applied duty rates","A",,
"834","Tanzania","000"," World",2022,2072400,,0,2,35,"","-- Not cut in pieces, fresh or chilled","MFN applied duty rates","A",,
"834","Tanzania","000"," World",2022,2072500,,0,2,35,"","-- Not cut in pieces, frozen","MFN applied duty rates","A",,
"834","Tanzania","000"," World",2022,2072600,,0,2,35,"","-- Cuts and offal, fresh or chilled","MFN applied duty rates","A",,
"834","Tanzania","000"," World",2022,2072700,,0,2,35,"","-- Cuts and offal, frozen","MFN applied duty rates","A",,
"834","Tanzania","000"," World",2022,2074100,,0,2,35,"","-- Not cut in pieces, fresh or chilled","MFN applied duty rates","A",,
"834","Tanzania","000"," World",2022,2074200,,0,2,35,"","-- Not cut in pieces, frozen","MFN applied duty rates","A",,
"834","Tanzania","000"," World",2022,2074300,,0,2,35,"","-- Fatty livers, fresh or chilled","MFN applied duty rates","A",,
"834","Tanzania","000"," World",2022,2074400,,0,2,35,"","-- Other, fresh or chilled","MFN applied duty rates","A",,
"834","Tanzania","000"," World",2022,2074500,,0,2,35,"","-- Other, frozen","MFN applied duty rates","A",,
"834","Tanzania","000"," World",2022,2075100,,0,2,35,"","-- Not cut in pieces, fresh or chilled","MFN applied duty rates","A",,
"834","Tanzania","000"," World",2022,2075200,,0,2,35,"","-- Not cut in pieces, frozen","MFN applied duty rates","A",,
"834","Tanzania","000"," World",2022,2075300,,0,2,35,"","-- Fatty livers, fresh or chilled","MFN applied duty rates","A",,
"834","Tanzania","000"," World",2022,2075400,,0,2,35,"","-- Other, fresh or chilled","MFN applied duty rates","A",,
"834","Tanzania","000"," World",2022,2075500,,0,2,35,"","-- Other, frozen","MFN applied duty rates","A",,
"834","Tanzania","000"," World",2022,2076000,,0,2,35,"","- Of guinea fowls","MFN applied duty rates","A",,
"834","Tanzania","000"," World",2022,2081000,,0,2,35,"","- Of rabbits or hares","MFN applied duty rates","A",,
"834","Tanzania","000"," World",2022,2083000,,0,2,35,"","- Of primates","MFN applied duty rates","A",,
"834","Tanzania","000"," World",2022,2084000,,0,2,35,"","- Of whales, dolphins and porpoises (mammals of the order Cetacea); of manatees and dugongs (mammals of the order Sirenia); of seals, sea lions and walruses (mammals of the suborder Pinnipedia)","MFN applied duty rates","A",,
"834","Tanzania","000"," World",2022,2085000,,0,2,35,"","- Of reptiles (including snakes and turtles)","MFN applied duty rates","A",,
"834","Tanzania","000"," World",2022,2086000,,0,2,35,"","- Of camels and other camelids (Camelidae)","MFN applied duty rates","A",,
"834","Tanzania","000"," World",2022,2089000,,0,2,35,"","- Other","MFN applied duty rates","A",,
