"Reporter","ReporterName","Partner","PartnerName","Year","TL","TLS","Duty Type","Duty Code","AV Duty Rate","Specific Duty Rate","TrfLineDescription","DutyTypeDescription","Duty Nature","AvMethod","Note"
"780","Trinidad and Tobago","000"," World",2021,1012100,,0,2,0,"","- - Pure-bred breeding animals .........................................","MFN applied duty rates","A","",
"780","Trinidad and Tobago","000"," World",2021,1012910,,0,2,2.5,"","- - - Race horses, not for breeding ....................................","MFN applied duty rates","A","",
"780","Trinidad and Tobago","000"," World",2021,1012990,,0,2,40,"","- - - Other ..........................................................................","MFN applied duty rates","A","",
"780","Trinidad and Tobago","000"," World",2021,1013010,,0,2,0,"","- - Pure-bred breeding animals .........................................","MFN applied duty rates","A","",
"780","Trinidad and Tobago","000"," World",2021,1013090,,0,2,40,"","- - Other.............................................................................","MFN applied duty rates","A","",
"780","Trinidad and Tobago","000"," World",2021,1019000,,0,2,40,"","- Other ...............................................................................","MFN applied duty rates","A","",
"780","Trinidad and Tobago","000"," World",2021,1022110,,0,2,0,"","- - - Bulls ...........................................................................","MFN applied duty rates","A","",
"780","Trinidad and Tobago","000"," World",2021,1022120,,0,2,0,"","- - - Cows ..........................................................................","MFN applied duty rates","A","",
"780","Trinidad and Tobago","000"," World",2021,1022910,,0,2,0,"","- - - Bulls, for breeding .....................................................","MFN applied duty rates","A","",
"780","Trinidad and Tobago","000"," World",2021,1022920,,0,2,0,"","- - - Bulls, for rearing, weighing not more than 270 kg....","MFN applied duty rates","A","",
"780","Trinidad and Tobago","000"," World",2021,1022930,,0,2,40,"","- - - Other bulls .................................................................","MFN applied duty rates","A","",
"780","Trinidad and Tobago","000"," World",2021,1022940,,0,2,0,"","- - - Cows, for breeding.....................................................","MFN applied duty rates","A","",
"780","Trinidad and Tobago","000"," World",2021,1022950,,0,2,0,"","- - - Cows, for rearing, weighing not more than 270 kg ...","MFN applied duty rates","A","",
"780","Trinidad and Tobago","000"," World",2021,1022960,,0,2,40,"","- - - Other cows .................................................................","MFN applied duty rates","A","",
"780","Trinidad and Tobago","000"," World",2021,1023100,,0,2,0,"","- - Pure-bred breeding animals .........................................","MFN applied duty rates","A","",
"780","Trinidad and Tobago","000"," World",2021,1023900,,0,2,40,"","- - Other.............................................................................","MFN applied duty rates","A","",
"780","Trinidad and Tobago","000"," World",2021,1029000,,0,2,40,"","- Other ...............................................................................","MFN applied duty rates","A","",
