"Reporter","ReporterName","Partner","PartnerName","Year","TL","TLS","Duty Type","Duty Code","AV Duty Rate","Specific Duty Rate","TrfLineDescription","DutyTypeDescription","Duty Nature","AvMethod","Note"
"788","Tunisia","000"," World",2016,10121000,,0,2,36,,"-- Reproducteurs de race pure","MFN applied duty rates","A",,
"788","Tunisia","000"," World",2016,10129100,,0,2,36,,"--- destinés à la boucherie*","MFN applied duty rates","A",,
"788","Tunisia","000"," World",2016,10129900,,0,2,36,,"--- autres*.","MFN applied duty rates","A",,
"788","Tunisia","000"," World",2016,10130000,,0,2,36,,"- Anes","MFN applied duty rates","A",,
"788","Tunisia","000"," World",2016,10190000,,0,2,36,,"- Autres","MFN applied duty rates","A",,
"788","Tunisia","000"," World",2016,10221100,,0,2,36,,"--- Génisses ( bovins femelles qui n'ont jamais vélé)*.","MFN applied duty rates","A",,
"788","Tunisia","000"," World",2016,10221300,,0,2,36,,"--- vaches*","MFN applied duty rates","A",,
"788","Tunisia","000"," World",2016,10221900,,0,2,36,,"--- autres*","MFN applied duty rates","A",,
"788","Tunisia","000"," World",2016,10229051,,0,2,36,,"----- veaux*.","MFN applied duty rates","A",,
"788","Tunisia","000"," World",2016,10229052,,0,2,36,,"----- taurillons*","MFN applied duty rates","A",,
"788","Tunisia","000"," World",2016,10229053,,0,2,36,,"----- Autres*","MFN applied duty rates","A",,
"788","Tunisia","000"," World",2016,10229059,,0,2,36,,"---- autres*","MFN applied duty rates","A",,
"788","Tunisia","000"," World",2016,10229101,,0,2,36,,"------ taurillons*.","MFN applied duty rates","A",,
"788","Tunisia","000"," World",2016,10229102,,0,2,36,,"------ veaux*.","MFN applied duty rates","A",,
"788","Tunisia","000"," World",2016,10229106,,0,2,36,,"------ autres*.","MFN applied duty rates","A",,
"788","Tunisia","000"," World",2016,10229109,,0,2,36,,"----- autres*.","MFN applied duty rates","A",,
"788","Tunisia","000"," World",2016,10229211,,0,2,36,,"------ taurillons*.","MFN applied duty rates","A",,
"788","Tunisia","000"," World",2016,10229212,,0,2,36,,"------ veaux*.","MFN applied duty rates","A",,
"788","Tunisia","000"," World",2016,10229219,,0,2,36,,"------ autres*.","MFN applied duty rates","A",,
"788","Tunisia","000"," World",2016,10229290,,0,2,36,,"----- autres *.","MFN applied duty rates","A",,
"788","Tunisia","000"," World",2016,10229411,,0,2,36,,"------ taurillons*.","MFN applied duty rates","A",,
"788","Tunisia","000"," World",2016,10229412,,0,2,36,,"------ veaux*","MFN applied duty rates","A",,
"788","Tunisia","000"," World",2016,10229419,,0,2,36,,"------ autres*.","MFN applied duty rates","A",,
"788","Tunisia","000"," World",2016,10229490,,0,2,36,,"----- autres*.","MFN applied duty rates","A",,
"788","Tunisia","000"," World",2016,10229510,,0,2,36,,"------ déstinés à la boucherie*.","MFN applied duty rates","A",,
"788","Tunisia","000"," World",2016,10229590,,0,2,36,,"------ autres:","MFN applied duty rates","A",,
"788","Tunisia","000"," World",2016,10229610,,0,2,36,,"------ destinés à la boucherie *.","MFN applied duty rates","A",,
"788","Tunisia","000"," World",2016,10229690,,0,2,36,,"------ autres *","MFN applied duty rates","A",,
"788","Tunisia","000"," World",2016,10229911,,0,2,,,"------- veaux*","MFN applied duty rates","N",,
"788","Tunisia","000"," World",2016,10229912,,0,2,36,,"------- taurillons*","MFN applied duty rates","A",,
"788","Tunisia","000"," World",2016,10229919,,0,2,36,,"------- Autres*","MFN applied duty rates","A",,
"788","Tunisia","000"," World",2016,10229990,,0,2,36,,"------ autres*","MFN applied duty rates","A",,
