"Reporter","ReporterName","Partner","PartnerName","Year","TL","TLS","Duty Type","Duty Code","AV Duty Rate","Specific Duty Rate","TrfLineDescription","DutyTypeDescription","Duty Nature","AvMethod","Note"
"784","United Arab Emirates","000"," World",2020,1012110,,0,2,0,"","- - - Of Arab breed","MFN Applied duty rate","A",,""
"784","United Arab Emirates","000"," World",2020,1012190,,0,2,0,"","- - - Other","MFN Applied duty rate","A",,""
"784","United Arab Emirates","000"," World",2020,1012910,,0,2,0,"","- - - Horses for sport","MFN Applied duty rate","A",,""
"784","United Arab Emirates","000"," World",2020,1012920,,0,2,0,"","- - - ponies","MFN Applied duty rate","A",,""
"784","United Arab Emirates","000"," World",2020,1012990,,0,2,0,"","- - - Other","MFN Applied duty rate","A",,""
"784","United Arab Emirates","000"," World",2020,1013000,,0,2,0,"","- Asses","MFN Applied duty rate","A",,""
"784","United Arab Emirates","000"," World",2020,1019000,,0,2,0,"","- Other","MFN Applied duty rate","A",,""
"784","United Arab Emirates","000"," World",2020,1022100,,0,2,0,"","- - Pure-bred breeding animals","MFN Applied duty rate","A",,""
"784","United Arab Emirates","000"," World",2020,1022900,,0,2,0,"","- - Other","MFN Applied duty rate","A",,""
"784","United Arab Emirates","000"," World",2020,1023100,,0,2,0,"","- - Pure-bred breeding animals","MFN Applied duty rate","A",,""
"784","United Arab Emirates","000"," World",2020,1023900,,0,2,0,"","- - Other","MFN Applied duty rate","A",,""
"784","United Arab Emirates","000"," World",2020,1029000,,0,2,0,"","- Other","MFN Applied duty rate","A",,""
"784","United Arab Emirates","000"," World",2020,1031000,,0,2,,"","- Pure-bred breeding animals","MFN Applied duty rate","P",,""
"784","United Arab Emirates","000"," World",2020,1039100,,0,2,,"","- - Weighing less than 50 kg","MFN Applied duty rate","P",,""
"784","United Arab Emirates","000"," World",2020,1039200,,0,2,,"","- - Weighing 50 kg or more","MFN Applied duty rate","P",,""
"784","United Arab Emirates","000"," World",2020,1041010,,0,2,0,"","- - - Pure- bred breeding","MFN Applied duty rate","A",,""
"784","United Arab Emirates","000"," World",2020,1041090,,0,2,0,"","- - - Other","MFN Applied duty rate","A",,""
"784","United Arab Emirates","000"," World",2020,1042010,,0,2,0,"","- - - Pure- bred breeding","MFN Applied duty rate","A",,""
"784","United Arab Emirates","000"," World",2020,1042090,,0,2,0,"","- - - Other","MFN Applied duty rate","A",,""
"784","United Arab Emirates","000"," World",2020,1051100,,0,2,0,"","- - Fowls of the species Gallus domesticus","MFN Applied duty rate","A",,""
"784","United Arab Emirates","000"," World",2020,1051200,,0,2,0,"","- - Turkeys","MFN Applied duty rate","A",,""
"784","United Arab Emirates","000"," World",2020,1051300,,0,2,0,"","- - Ducks","MFN Applied duty rate","A",,""
"784","United Arab Emirates","000"," World",2020,1051400,,0,2,0,"","- - Geese","MFN Applied duty rate","A",,""
"784","United Arab Emirates","000"," World",2020,1051500,,0,2,0,"","- - Guinea fowls","MFN Applied duty rate","A",,""
"784","United Arab Emirates","000"," World",2020,1059410,,0,2,0,"","- - - Layers","MFN Applied duty rate","A",,""
"784","United Arab Emirates","000"," World",2020,1059420,,0,2,0,"","- - - Broilers","MFN Applied duty rate","A",,""
"784","United Arab Emirates","000"," World",2020,1059430,,0,2,0,"","- - - As mothers","MFN Applied duty rate","A",,""
"784","United Arab Emirates","000"," World",2020,1059490,,0,2,0,"","- - - Other","MFN Applied duty rate","A",,""
"784","United Arab Emirates","000"," World",2020,1059910,,0,2,0,"","- - - Tame ducks and geesse","MFN Applied duty rate","A",,""
"784","United Arab Emirates","000"," World",2020,1059920,,0,2,0,"","- - - Turkeys","MFN Applied duty rate","A",,""
"784","United Arab Emirates","000"," World",2020,1059990,,0,2,0,"","- - - Other","MFN Applied duty rate","A",,""
"784","United Arab Emirates","000"," World",2020,1061100,,0,2,0,"","- - Primates","MFN Applied duty rate","A",,""
"784","United Arab Emirates","000"," World",2020,1061200,,0,2,0,"","- - Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)","MFN Applied duty rate","A",,""
"784","United Arab Emirates","000"," World",2020,1061310,,0,2,0,"","- - - Pure-bred breeding","MFN Applied duty rate","A",,""
"784","United Arab Emirates","000"," World",2020,1061320,,0,2,0,"","- - - For domestic competitions and racing","MFN Applied duty rate","A",,""
"784","United Arab Emirates","000"," World",2020,1061390,,0,2,0,"","- - - Other","MFN Applied duty rate","A",,""
"784","United Arab Emirates","000"," World",2020,1061400,,0,2,0,"","- - Rabbits and hares","MFN Applied duty rate","A",,""
"784","United Arab Emirates","000"," World",2020,1061930,,0,2,0,"","- - - Gazelles and deer","MFN Applied duty rate","A",,""
"784","United Arab Emirates","000"," World",2020,1061940,,0,2,0,"","- - - Dogs","MFN Applied duty rate","A",,""
"784","United Arab Emirates","000"," World",2020,1061950,,0,2,0,"","- - - Foxes, minks and other fur animals","MFN Applied duty rate","A",,""
"784","United Arab Emirates","000"," World",2020,1061960,,0,2,0,"","- - - Animals for zoos, fairs, and imported animals for scientific experiment and research labs","MFN Applied duty rate","A",,""
"784","United Arab Emirates","000"," World",2020,1061990,,0,2,0,"","- - - Other","MFN Applied duty rate","A",,""
"784","United Arab Emirates","000"," World",2020,1062000,,0,2,0,"","- Reptiles (including snakes and turtles)","MFN Applied duty rate","A",,""
"784","United Arab Emirates","000"," World",2020,1063100,,0,2,0,"","- - Birds of prey","MFN Applied duty rate","A",,""
"784","United Arab Emirates","000"," World",2020,1063200,,0,2,0,"","- - Psittaciformes (including parrots, parakeets, macaws and cockatoos)","MFN Applied duty rate","A",,""
"784","United Arab Emirates","000"," World",2020,1063300,,0,2,0,"","- - Ostriches; emus (Dromaius novaehollandiae)","MFN Applied duty rate","A",,""
"784","United Arab Emirates","000"," World",2020,1063910,,0,2,0,"","- - - Tame and wild pigeons, partridges, pheasants, quail, snipe, sand grouse, wild ducks","MFN Applied duty rate","A",,""
"784","United Arab Emirates","000"," World",2020,1063920,,0,2,0,"","- - - Ornamental birds","MFN Applied duty rate","A",,""
"784","United Arab Emirates","000"," World",2020,1063990,,0,2,0,"","- - - Other","MFN Applied duty rate","A",,""
