"Reporter","ReporterName","Partner","PartnerName","Year","TL","TLS","Duty Type","Duty Code","AV Duty Rate","Specific Duty Rate","TrfLineDescription","DutyTypeDescription","Duty Nature","AvMethod","Note"
"858","Uruguay","000"," World",2022,101210000,,0,2,0,,"- -Reproductores de raza pura","MFN applied duty rates","A",,
"858","Uruguay","000"," World",2022,101290010,,0,2,2,,"de carrera (pura sangre de carrera)","MFN applied duty rates","A",,
"858","Uruguay","000"," World",2022,101290020,,0,2,2,,"para polo","MFN applied duty rates","A",,
"858","Uruguay","000"," World",2022,101290030,,0,2,2,,"reproductores","MFN applied duty rates","A",,
"858","Uruguay","000"," World",2022,101290091,,0,2,2,,"aptos para faena o consumo","MFN applied duty rates","A",,
"858","Uruguay","000"," World",2022,101290099,,0,2,2,,"los demás","MFN applied duty rates","A",,
"858","Uruguay","000"," World",2022,101300010,,0,2,4,,"reproductores de raza pura","MFN applied duty rates","A",,
"858","Uruguay","000"," World",2022,101300090,,0,2,4,,"los demás","MFN applied duty rates","A",,
"858","Uruguay","000"," World",2022,101900000,,0,2,4,,"- Los demás","MFN applied duty rates","A",,
"858","Uruguay","000"," World",2022,102211010,,0,2,0,,"razas de carne","MFN applied duty rates","A",,
"858","Uruguay","000"," World",2022,102211020,,0,2,0,,"razas de leche","MFN applied duty rates","A",,
"858","Uruguay","000"," World",2022,102211030,,0,2,0,,"razas de doble propósito","MFN applied duty rates","A",,
"858","Uruguay","000"," World",2022,102219010,,0,2,0,,"razas de carne","MFN applied duty rates","A",,
"858","Uruguay","000"," World",2022,102219020,,0,2,0,,"razas de leche","MFN applied duty rates","A",,
"858","Uruguay","000"," World",2022,102219030,,0,2,0,,"razas de doble propósito","MFN applied duty rates","A",,
"858","Uruguay","000"," World",2022,102291110,,0,2,2,,"puros por cruza u origen, selección raza de carne","MFN applied duty rates","A",,
"858","Uruguay","000"," World",2022,102291120,,0,2,2,,"puros por cruza u origen, selección raza de leche","MFN applied duty rates","A",,
"858","Uruguay","000"," World",2022,102291130,,0,2,2,,"puros por cruza u origen, selección raza de doble propósito","MFN applied duty rates","A",,
"858","Uruguay","000"," World",2022,102291190,,0,2,2,,"los demás","MFN applied duty rates","A",,
"858","Uruguay","000"," World",2022,102291910,,0,2,2,,"puros por cruza u origen, selección raza de carne","MFN applied duty rates","A",,
"858","Uruguay","000"," World",2022,102291920,,0,2,2,,"puros por cruza u origen, selección raza de leche","MFN applied duty rates","A",,
