"Reporter","ReporterName","Partner","PartnerName","Year","TL","TLS","Duty Type","Duty Code","AV Duty Rate","Specific Duty Rate","TrfLineDescription","DutyTypeDescription","Duty Nature","AvMethod","Note"
"548","Vanuatu","000"," World",2020,1012100000,,0,2,5,,"Pure-bred breeding animals","MFN applied duty rates","A",,""
"548","Vanuatu","000"," World",2020,1012900000,,0,2,5,,"Other","MFN applied duty rates","A",,""
"548","Vanuatu","000"," World",2020,1.013e+09,,0,2,5,,"Asses","MFN applied duty rates","A",,""
"548","Vanuatu","000"," World",2020,1.019e+09,,0,2,5,,"Other","MFN applied duty rates","A",,""
"548","Vanuatu","000"," World",2020,1022100000,,0,2,5,,"Pure bred breeding animals","MFN applied duty rates","A",,""
"548","Vanuatu","000"," World",2020,1022900000,,0,2,5,,"other","MFN applied duty rates","A",,""
"548","Vanuatu","000"," World",2020,1023100000,,0,2,5,,"Pure bred-breeding animals","MFN applied duty rates","A",,""
"548","Vanuatu","000"," World",2020,1023900000,,0,2,5,,"Other","MFN applied duty rates","A",,""
"548","Vanuatu","000"," World",2020,1.029e+09,,0,2,5,,"Other","MFN applied duty rates","A",,""
"548","Vanuatu","000"," World",2020,1.031e+09,,0,2,5,,"Pure-bred breeding animals","MFN applied duty rates","A",,""
"548","Vanuatu","000"," World",2020,1039100000,,0,2,5,,"Weighing less than 50kg","MFN applied duty rates","A",,""
"548","Vanuatu","000"," World",2020,1039200000,,0,2,5,,"Weighing 50kg or more","MFN applied duty rates","A",,""
"548","Vanuatu","000"," World",2020,1.041e+09,,0,2,5,,"Sheep","MFN applied duty rates","A",,""
"548","Vanuatu","000"," World",2020,1.042e+09,,0,2,5,,"Goats","MFN applied duty rates","A",,""
"548","Vanuatu","000"," World",2020,1051100000,,0,2,0,,"Fowls of the species Gallus domesticus","MFN applied duty rates","A",,""
"548","Vanuatu","000"," World",2020,1051200000,,0,2,0,,"Turkeys","MFN applied duty rates","A",,""
"548","Vanuatu","000"," World",2020,1051300000,,0,2,0,,"Ducks","MFN applied duty rates","A",,""
"548","Vanuatu","000"," World",2020,1051400000,,0,2,0,,"Geese","MFN applied duty rates","A",,""
"548","Vanuatu","000"," World",2020,1051500000,,0,2,0,,"Guinea fowls","MFN applied duty rates","A",,""
"548","Vanuatu","000"," World",2020,1059400000,,0,2,5,,"Fowls of the species Gallus domesticus","MFN applied duty rates","A",,""
"548","Vanuatu","000"," World",2020,1059900000,,0,2,5,,"Other","MFN applied duty rates","A",,""
"548","Vanuatu","000"," World",2020,1061100000,,0,2,5,,"Primates","MFN applied duty rates","A",,""
"548","Vanuatu","000"," World",2020,1061200000,,0,2,5,,"Whales, dolphins and porpoises (mammals of the order Cetacea), manatees and dugongs (mammals of the order Sirenia), seals, sea lions and walruses (mammals of the suborder Pinnipedia)","MFN applied duty rates","A",,""
"548","Vanuatu","000"," World",2020,1061300000,,0,2,5,,"Camels and other camelids (Camelidae)","MFN applied duty rates","A",,""
"548","Vanuatu","000"," World",2020,1061400000,,0,2,5,,"Rabits and hares","MFN applied duty rates","A",,""
"548","Vanuatu","000"," World",2020,1061900000,,0,2,5,,"Other","MFN applied duty rates","A",,""
"548","Vanuatu","000"," World",2020,1.062e+09,,0,2,5,,"Reptiles (including snakes and turtles)","MFN applied duty rates","A",,""
"548","Vanuatu","000"," World",2020,1063100000,,0,2,5,,"Birds of prey","MFN applied duty rates","A",,""
"548","Vanuatu","000"," World",2020,1063200000,,0,2,5,,"Psittaciformes (including parrots, parakeets, macaws and cockatoos)","MFN applied duty rates","A",,""
"548","Vanuatu","000"," World",2020,1063300000,,0,2,5,,"Ostriches, emus (Dromaius novaehollandiae)","MFN applied duty rates","A",,""
"548","Vanuatu","000"," World",2020,1063900000,,0,2,5,,"Other","MFN applied duty rates","A",,""
"548","Vanuatu","000"," World",2020,1064100000,,0,2,5,,"Bees","MFN applied duty rates","A",,""
"548","Vanuatu","000"," World",2020,1064900000,,0,2,5,,"Other","MFN applied duty rates","A",,""
"548","Vanuatu","000"," World",2020,1.069e+09,,0,2,5,,"Other","MFN applied duty rates","A",,""
"548","Vanuatu","000"," World",2020,2.011e+09,,0,2,30,,"Carcasses and half-carcasses","MFN applied duty rates","A",,""
"548","Vanuatu","000"," World",2020,2.012e+09,,0,2,30,,"Other cuts with bone in","MFN applied duty rates","A",,""
"548","Vanuatu","000"," World",2020,2.013e+09,,0,2,30,,"Boneless","MFN applied duty rates","A",,""
"548","Vanuatu","000"," World",2020,2.021e+09,,0,2,30,,"Carcasses and half-carcasses","MFN applied duty rates","A",,""
"548","Vanuatu","000"," World",2020,2.022e+09,,0,2,30,,"Other cuts with bone in","MFN applied duty rates","A",,""
"548","Vanuatu","000"," World",2020,2.023e+09,,0,2,30,,"Boneless","MFN applied duty rates","A",,""
"548","Vanuatu","000"," World",2020,2031100000,,0,2,30,,"Carcasses and half-carcasses","MFN applied duty rates","A",,""
"548","Vanuatu","000"," World",2020,2031200000,,0,2,30,,"Hams, shoulders and cuts thereof, with bone in","MFN applied duty rates","A",,""
"548","Vanuatu","000"," World",2020,2031900000,,0,2,30,,"Other","MFN applied duty rates","A",,""
"548","Vanuatu","000"," World",2020,2032100000,,0,2,30,,"Carcasses and half-carcasses","MFN applied duty rates","A",,""
"548","Vanuatu","000"," World",2020,2032200000,,0,2,30,,"Hams, shoulders and cuts thereof, with bone in","MFN applied duty rates","A",,""
"548","Vanuatu","000"," World",2020,2032900000,,0,2,30,,"Other","MFN applied duty rates","A",,""
"548","Vanuatu","000"," World",2020,2.041e+09,,0,2,30,,"Carcasses and half-carcasses of lamb, fresh or chilled","MFN applied duty rates","A",,""
"548","Vanuatu","000"," World",2020,2042100000,,0,2,30,,"Carcasses and half-carcasses","MFN applied duty rates","A",,""
"548","Vanuatu","000"," World",2020,2042200000,,0,2,30,,"Other cuts with bone in","MFN applied duty rates","A",,""
"548","Vanuatu","000"," World",2020,2042300000,,0,2,30,,"Boneless","MFN applied duty rates","A",,""
"548","Vanuatu","000"," World",2020,2.043e+09,,0,2,30,,"Carcasses and half-carcasses of lamb, frozen","MFN applied duty rates","A",,""
"548","Vanuatu","000"," World",2020,2044100000,,0,2,30,,"Carcasses and half-carcasses","MFN applied duty rates","A",,""
"548","Vanuatu","000"," World",2020,2044200000,,0,2,30,,"Other cuts with bone in","MFN applied duty rates","A",,""
"548","Vanuatu","000"," World",2020,2044300000,,0,2,30,,"Boneless","MFN applied duty rates","A",,""
"548","Vanuatu","000"," World",2020,2.045e+09,,0,2,30,,"Meat of goats","MFN applied duty rates","A",,""
"548","Vanuatu","000"," World",2020,2.05e+09,,0,2,30,,"Meat of horses, asses, mules or hinnies, fresh, chilled or frozen","MFN applied duty rates","A",,""
"548","Vanuatu","000"," World",2020,2.061e+09,,0,2,30,,"Of bovine animals, fresh or chilled","MFN applied duty rates","A",,""
"548","Vanuatu","000"," World",2020,2062100000,,0,2,30,,"Tongues","MFN applied duty rates","A",,""
"548","Vanuatu","000"," World",2020,2062200000,,0,2,30,,"Livers","MFN applied duty rates","A",,""
"548","Vanuatu","000"," World",2020,2062900000,,0,2,30,,"Other","MFN applied duty rates","A",,""
