"Reporter","ReporterName","Partner","PartnerName","Year","TL","TLS","Duty Type","Duty Code","AV Duty Rate","Specific Duty Rate","TrfLineDescription","DutyTypeDescription","Duty Nature","AvMethod","Note"
"862","Venezuela","000"," World",2016,101210000,,0,2,0,,"--Reproductores de raza pura","MFN applied duty rates","A",,""
"862","Venezuela","000"," World",2016,101290000,,0,2,2,,"--Los demás","MFN applied duty rates","A",,""
"862","Venezuela","000"," World",2016,101300000,,0,2,4,,"-Asnos","MFN applied duty rates","A",,""
"862","Venezuela","000"," World",2016,101900000,,0,2,4,,"-Los demás","MFN applied duty rates","A",,""
"862","Venezuela","000"," World",2016,102211000,,0,2,0,,"---Preñadas o con cría al pie","MFN applied duty rates","A",,""
"862","Venezuela","000"," World",2016,102219000,,0,2,0,,"---Los demás","MFN applied duty rates","A",,""
"862","Venezuela","000"," World",2016,102291100,,0,2,2,,"----Preñadas o con cría al pie","MFN applied duty rates","A",,""
"862","Venezuela","000"," World",2016,102291900,,0,2,2,,"----Los demás","MFN applied duty rates","A",,""
"862","Venezuela","000"," World",2016,102299000,,0,2,2,,"---Los demás","MFN applied duty rates","A",,""
"862","Venezuela","000"," World",2016,102311000,,0,2,0,,"---Preñadas o con cría al pie","MFN applied duty rates","A",,""
"862","Venezuela","000"," World",2016,102319000,,0,2,0,,"---Los demás","MFN applied duty rates","A",,""
"862","Venezuela","000"," World",2016,102391100,,0,2,2,,"----Preñadas o con cría al pie","MFN applied duty rates","A",,""
"862","Venezuela","000"," World",2016,102391900,,0,2,2,,"----Los demás","MFN applied duty rates","A",,""
"862","Venezuela","000"," World",2016,102399000,,0,2,2,,"---Los demás","MFN applied duty rates","A",,""
"862","Venezuela","000"," World",2016,102900000,,0,2,0,,"-Los demás","MFN applied duty rates","A",,""
"862","Venezuela","000"," World",2016,103100000,,0,2,0,,"-Reproductores de raza pura","MFN applied duty rates","A",,""
"862","Venezuela","000"," World",2016,103910000,,0,2,2,,"--De peso inferior a 50 kg","MFN applied duty rates","A",,""
"862","Venezuela","000"," World",2016,103920000,,0,2,2,,"--De peso superior o igual a 50 kg","MFN applied duty rates","A",,""
