"Reporter","ReporterName","Partner","PartnerName","Year","TL","TLS","Duty Type","Duty Code","AV Duty Rate","Specific Duty Rate","TrfLineDescription","DutyTypeDescription","Duty Nature","AvMethod","Note"
"704","Vietnam","000"," World",2023,101210000,,0,2,0,,"- - Pure-bred breeding animals","MFN applied duty rates","A",,
"704","Vietnam","000"," World",2023,101290000,,0,2,5,,"- - Other","MFN applied duty rates","A",,
"704","Vietnam","000"," World",2023,101301000,,0,2,0,,"- - Pure-bred breeding animals","MFN applied duty rates","A",,
"704","Vietnam","000"," World",2023,101309000,,0,2,5,,"- - Other","MFN applied duty rates","A",,
"704","Vietnam","000"," World",2023,101900000,,0,2,5,,"- Other","MFN applied duty rates","A",,
"704","Vietnam","000"," World",2023,102210000,,0,2,0,,"- - Pure-bred breeding animals","MFN applied duty rates","A",,
"704","Vietnam","000"," World",2023,102291100,,0,2,5,,"- - - - Oxen","MFN applied duty rates","A",,
"704","Vietnam","000"," World",2023,102291900,,0,2,5,,"- - - - Other","MFN applied duty rates","A",,
"704","Vietnam","000"," World",2023,102299000,,0,2,5,,"- - - Other","MFN applied duty rates","A",,
"704","Vietnam","000"," World",2023,102310000,,0,2,0,,"- - Pure-bred breeding animals","MFN applied duty rates","A",,
"704","Vietnam","000"," World",2023,102390000,,0,2,5,,"- - Other","MFN applied duty rates","A",,
"704","Vietnam","000"," World",2023,102901000,,0,2,0,,"- - Pure-bred breeding animals","MFN applied duty rates","A",,
"704","Vietnam","000"," World",2023,102909000,,0,2,5,,"- - Other","MFN applied duty rates","A",,
"704","Vietnam","000"," World",2023,103100000,,0,2,0,,"- Pure-bred breeding animals","MFN applied duty rates","A",,
"704","Vietnam","000"," World",2023,103910000,,0,2,5,,"- - Weighing less than 50 kg","MFN applied duty rates","A",,
"704","Vietnam","000"," World",2023,103920000,,0,2,5,,"- - Weighing 50 kg or more","MFN applied duty rates","A",,
"704","Vietnam","000"," World",2023,104101000,,0,2,0,,"- - Pure-bred breeding animals","MFN applied duty rates","A",,
"704","Vietnam","000"," World",2023,104109000,,0,2,5,,"- - Other","MFN applied duty rates","A",,
"704","Vietnam","000"," World",2023,104201000,,0,2,0,,"- - Pure-bred breeding animals","MFN applied duty rates","A",,
"704","Vietnam","000"," World",2023,104209000,,0,2,5,,"- - Other","MFN applied duty rates","A",,
"704","Vietnam","000"," World",2023,105111000,,0,2,0,,"- - - Breeding fowls","MFN applied duty rates","A",,
"704","Vietnam","000"," World",2023,105119000,,0,2,10,,"- - - Other","MFN applied duty rates","A",,
"704","Vietnam","000"," World",2023,105121000,,0,2,0,,"- - - Breeding turkeys","MFN applied duty rates","A",,
"704","Vietnam","000"," World",2023,105129000,,0,2,10,,"- - - Other","MFN applied duty rates","A",,
"704","Vietnam","000"," World",2023,105131000,,0,2,0,,"- - - Breeding ducklings","MFN applied duty rates","A",,
"704","Vietnam","000"," World",2023,105139000,,0,2,10,,"- - - Other","MFN applied duty rates","A",,
"704","Vietnam","000"," World",2023,105141000,,0,2,0,,"- - - Breeding goslings","MFN applied duty rates","A",,
"704","Vietnam","000"," World",2023,105149000,,0,2,10,,"- - - Other","MFN applied duty rates","A",,
"704","Vietnam","000"," World",2023,105151000,,0,2,0,,"- - - Breeding guinea fowls","MFN applied duty rates","A",,
"704","Vietnam","000"," World",2023,105159000,,0,2,10,,"- - - Other","MFN applied duty rates","A",,
"704","Vietnam","000"," World",2023,105941000,,0,2,0,,"- - - Breeding fowls, other than fighting cocks","MFN applied duty rates","A",,
"704","Vietnam","000"," World",2023,105944100,,0,2,5,,"- - - - Weighing not more than 2 kg","MFN applied duty rates","A",,
"704","Vietnam","000"," World",2023,105944900,,0,2,5,,"- - - - Other","MFN applied duty rates","A",,
"704","Vietnam","000"," World",2023,105949100,,0,2,10,,"- - - - Weighing not more than 2 kg","MFN applied duty rates","A",,
"704","Vietnam","000"," World",2023,105949900,,0,2,10,,"- - - - Other","MFN applied duty rates","A",,
"704","Vietnam","000"," World",2023,105991000,,0,2,0,,"- - - Breeding ducks","MFN applied duty rates","A",,
"704","Vietnam","000"," World",2023,105992000,,0,2,5,,"- - - Other ducks","MFN applied duty rates","A",,
"704","Vietnam","000"," World",2023,105993000,,0,2,0,,"- - - Breeding geese, turkeys and guinea fowls","MFN applied duty rates","A",,
"704","Vietnam","000"," World",2023,105994000,,0,2,5,,"- - - Other geese, turkeys and guinea fowls","MFN applied duty rates","A",,
"704","Vietnam","000"," World",2023,106110000,,0,2,5,,"- - Primates","MFN applied duty rates","A",,
