"Reporter","ReporterName","Partner","PartnerName","Year","TL","TLS","Duty Type","Duty Code","AV Duty Rate","Specific Duty Rate","TrfLineDescription","DutyTypeDescription","Duty Nature","AvMethod","Note"
"887","Yemen","000"," World",2016,1012100,,0,2,10,,"-- Pure-bred breeding animals","MFN applied duty rates","A",,
"887","Yemen","000"," World",2016,1012900,,0,2,10,,"-- Other","MFN applied duty rates","A",,
"887","Yemen","000"," World",2016,1013000,,0,2,10,,"- Asses","MFN applied duty rates","A",,
"887","Yemen","000"," World",2016,1019000,,0,2,10,,"- Other","MFN applied duty rates","A",,
"887","Yemen","000"," World",2016,1022100,,0,2,10,,"-- Pure-bred breeding animals","MFN applied duty rates","A",,
"887","Yemen","000"," World",2016,1022900,,0,2,10,,"-- Other","MFN applied duty rates","A",,
"887","Yemen","000"," World",2016,1023100,,0,2,10,,"-- Pure-bred breeding animals","MFN applied duty rates","A",,
"887","Yemen","000"," World",2016,1023900,,0,2,10,,"-- Other","MFN applied duty rates","A",,
"887","Yemen","000"," World",2016,1029000,,0,2,10,,"- Other","MFN applied duty rates","A",,
"887","Yemen","000"," World",2016,1031000,,0,2,,,"- Pure- Bred breeding animals","MFN applied duty rates","P",,
"887","Yemen","000"," World",2016,1039100,,0,2,,,"-- Weighing less than 50 kg","MFN applied duty rates","P",,
"887","Yemen","000"," World",2016,1039200,,0,2,,,"-- Weighing 50 kg or more","MFN applied duty rates","P",,
"887","Yemen","000"," World",2016,1041000,,0,2,10,,"- Sheep","MFN applied duty rates","A",,
"887","Yemen","000"," World",2016,1042000,,0,2,10,,"- Goats","MFN applied duty rates","A",,
"887","Yemen","000"," World",2016,1051100,,0,2,10,,"-- Fowls of the species Gallus domesticus","MFN applied duty rates","A",,
"887","Yemen","000"," World",2016,1051200,,0,2,10,,"-- Turkeys","MFN applied duty rates","A",,
"887","Yemen","000"," World",2016,1051300,,0,2,10,,"-- Ducks","MFN applied duty rates","A",,
"887","Yemen","000"," World",2016,1051400,,0,2,10,,"-- Geese","MFN applied duty rates","A",,
"887","Yemen","000"," World",2016,1051500,,0,2,10,,"-- Guinea fowls","MFN applied duty rates","A",,
"887","Yemen","000"," World",2016,1059400,,0,2,10,,"-- Fowls of the species Gallus domesticus","MFN applied duty rates","A",,
"887","Yemen","000"," World",2016,1059900,,0,2,10,,"-- Other","MFN applied duty rates","A",,
"887","Yemen","000"," World",2016,1061100,,0,2,25,,"-- Primates","MFN applied duty rates","A",,
"887","Yemen","000"," World",2016,1061200,,0,2,25,,"-- Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder pinnipedia)"".","MFN applied duty rates","A",,
"887","Yemen","000"," World",2016,1061300,,0,2,10,,"-- Camels and other camelids (camelidae)","MFN applied duty rates","A",,
"887","Yemen","000"," World",2016,1061400,,0,2,10,,"-- Rabbits and hares.","MFN applied duty rates","A",,
"887","Yemen","000"," World",2016,1061910,,0,2,25,,"--- Other endangered mammals other than in heading 0106.11, 0106.12","MFN applied duty rates","A",,
"887","Yemen","000"," World",2016,1061990,,0,2,10,,"--- Other","MFN applied duty rates","A",,
"887","Yemen","000"," World",2016,1062000,,0,2,25,,"- Reptiles (including snakes and turtles)","MFN applied duty rates","A",,
"887","Yemen","000"," World",2016,1063100,,0,2,25,,"-- Birds of prey","MFN applied duty rates","A",,
"887","Yemen","000"," World",2016,1063200,,0,2,25,,"-- Psittaciformes (including parrots, parakeets, macaws and cockatoos)","MFN applied duty rates","A",,
"887","Yemen","000"," World",2016,1063300,,0,2,10,,"-- Ostriches; emus (Dromaius novaehollandiae)","MFN applied duty rates","A",,
"887","Yemen","000"," World",2016,1063910,,0,2,25,,"--- Other endangered birds other than in heading 0106.31, 0106.32","MFN applied duty rates","A",,
"887","Yemen","000"," World",2016,1063990,,0,2,10,,"--- Other","MFN applied duty rates","A",,
"887","Yemen","000"," World",2016,1064100,,0,2,10,,"-- Bees","MFN applied duty rates","A",,
"887","Yemen","000"," World",2016,1064900,,0,2,10,,"-- Other","MFN applied duty rates","A",,
"887","Yemen","000"," World",2016,1069010,,0,2,25,,"--- Other endangered animals other than in heading 0106.11, 0106.12","MFN applied duty rates","A",,
"887","Yemen","000"," World",2016,1069090,,0,2,10,,"--- Other","MFN applied duty rates","A",,
"887","Yemen","000"," World",2016,2011000,,0,2,10,,"- Carcasses and half-Carcasses","MFN applied duty rates","A",,
"887","Yemen","000"," World",2016,2012000,,0,2,10,,"- Other cuts with bone in","MFN applied duty rates","A",,
"887","Yemen","000"," World",2016,2013000,,0,2,10,,"- Boneless","MFN applied duty rates","A",,
"887","Yemen","000"," World",2016,2021000,,0,2,10,,"- Carcasses and half-Carcasses","MFN applied duty rates","A",,
"887","Yemen","000"," World",2016,2022000,,0,2,10,,"- Other cuts with bone in","MFN applied duty rates","A",,
"887","Yemen","000"," World",2016,2023000,,0,2,10,,"- Boneless","MFN applied duty rates","A",,
"887","Yemen","000"," World",2016,2031100,,0,2,,,"-- Carcasses and half-Carcasses","MFN applied duty rates","P",,
"887","Yemen","000"," World",2016,2031200,,0,2,,,"-- Hams, shoulders and cuts thereof, with bone in","MFN applied duty rates","P",,
"887","Yemen","000"," World",2016,2031900,,0,2,,,"-- Other","MFN applied duty rates","P",,
"887","Yemen","000"," World",2016,2032100,,0,2,,,"-- Carcasses and half-Carcasses","MFN applied duty rates","P",,
"887","Yemen","000"," World",2016,2032200,,0,2,,,"-- Hams, shoulders and cuts thereof, with bone in","MFN applied duty rates","P",,
"887","Yemen","000"," World",2016,2032900,,0,2,,,"-- Other","MFN applied duty rates","P",,
"887","Yemen","000"," World",2016,2041000,,0,2,10,,"- Carcasses and half-carcasses of lamb, fresh or chilled","MFN applied duty rates","A",,
"887","Yemen","000"," World",2016,2042100,,0,2,10,,"-- Carcasses and half-Carcasses","MFN applied duty rates","A",,
"887","Yemen","000"," World",2016,2042200,,0,2,10,,"-- Other cuts with bone in","MFN applied duty rates","A",,
"887","Yemen","000"," World",2016,2042300,,0,2,10,,"-- Boneless","MFN applied duty rates","A",,
"887","Yemen","000"," World",2016,2043000,,0,2,10,,"- Carcasses and half-carcasses of lamb, frozen","MFN applied duty rates","A",,
"887","Yemen","000"," World",2016,2044100,,0,2,10,,"-- Carcasses and half-Carcasses","MFN applied duty rates","A",,
"887","Yemen","000"," World",2016,2044200,,0,2,10,,"-- Other cuts with bone in","MFN applied duty rates","A",,
"887","Yemen","000"," World",2016,2044300,,0,2,10,,"-- Boneless","MFN applied duty rates","A",,
"887","Yemen","000"," World",2016,2045000,,0,2,10,,"- Meat of goats","MFN applied duty rates","A",,
"887","Yemen","000"," World",2016,2050000,,0,2,10,,"Meat of horses, asses, mules or hinnies, fresh, chilled or frozen.","MFN applied duty rates","A",,
"887","Yemen","000"," World",2016,2061000,,0,2,10,,"- Of bovine animals, fresh or chilled","MFN applied duty rates","A",,
"887","Yemen","000"," World",2016,2062100,,0,2,10,,"-- Tongues","MFN applied duty rates","A",,
"887","Yemen","000"," World",2016,2062200,,0,2,10,,"-- Livers","MFN applied duty rates","A",,
"887","Yemen","000"," World",2016,2062900,,0,2,10,,"-- Other","MFN applied duty rates","A",,
"887","Yemen","000"," World",2016,2063000,,0,2,,,"- Of swine, fresh or chilled","MFN applied duty rates","P",,
"887","Yemen","000"," World",2016,2064100,,0,2,,,"-- Livers","MFN applied duty rates","P",,
"887","Yemen","000"," World",2016,2064900,,0,2,,,"-- Other","MFN applied duty rates","P",,
"887","Yemen","000"," World",2016,2068000,,0,2,10,,"- Other, fresh or chilled","MFN applied duty rates","A",,
"887","Yemen","000"," World",2016,2069000,,0,2,10,,"- Other, frozen","MFN applied duty rates","A",,
"887","Yemen","000"," World",2016,2071100,,0,2,10,,"-- Not cut in pieces, fresh or chilled","MFN applied duty rates","A",,
"887","Yemen","000"," World",2016,2071200,,0,2,10,,"-- Not cut in pieces, frozen","MFN applied duty rates","A",,
"887","Yemen","000"," World",2016,2071300,,0,2,10,,"-- Cuts and offal, fresh or chilled","MFN applied duty rates","A",,
"887","Yemen","000"," World",2016,2071400,,0,2,10,,"-- Cuts and offal, frozen","MFN applied duty rates","A",,
"887","Yemen","000"," World",2016,2072400,,0,2,10,,"-- Not cut in pieces, fresh or chilled","MFN applied duty rates","A",,
"887","Yemen","000"," World",2016,2072500,,0,2,10,,"-- Not cut in pieces, frozen","MFN applied duty rates","A",,
"887","Yemen","000"," World",2016,2072600,,0,2,10,,"-- Cuts and offal, fresh or chilled","MFN applied duty rates","A",,
"887","Yemen","000"," World",2016,2072700,,0,2,10,,"-- Cuts and offal, frozen","MFN applied duty rates","A",,
"887","Yemen","000"," World",2016,2074100,,0,2,10,,"-- Not cut in pieces, fresh or chilled","MFN applied duty rates","A",,
"887","Yemen","000"," World",2016,2074200,,0,2,10,,"-- Not cut in pieces, frozen","MFN applied duty rates","A",,
"887","Yemen","000"," World",2016,2074300,,0,2,10,,"-- Fatty livers, fresh or chilled","MFN applied duty rates","A",,
"887","Yemen","000"," World",2016,2074400,,0,2,10,,"-- Other, fresh or chilled","MFN applied duty rates","A",,
"887","Yemen","000"," World",2016,2074500,,0,2,10,,"-- Other, frozen","MFN applied duty rates","A",,
"887","Yemen","000"," World",2016,2075100,,0,2,10,,"-- Not cut in pieces, fresh or chilled","MFN applied duty rates","A",,
"887","Yemen","000"," World",2016,2075200,,0,2,10,,"-- Not cut in pieces, frozen","MFN applied duty rates","A",,
"887","Yemen","000"," World",2016,2075300,,0,2,10,,"-- Fatty livers, fresh or chilled","MFN applied duty rates","A",,
"887","Yemen","000"," World",2016,2075400,,0,2,10,,"-- Other , fresh or chilled","MFN applied duty rates","A",,
"887","Yemen","000"," World",2016,2075500,,0,2,10,,"-- Other, frozen","MFN applied duty rates","A",,
"887","Yemen","000"," World",2016,2076000,,0,2,10,,"- Of guinea fowls","MFN applied duty rates","A",,
"887","Yemen","000"," World",2016,2081000,,0,2,10,,"- Of rabbits or hares","MFN applied duty rates","A",,
"887","Yemen","000"," World",2016,2083000,,0,2,25,,"- Of Primates","MFN applied duty rates","A",,
"887","Yemen","000"," World",2016,2084010,,0,2,25,,"--- Of whales, dolphins and porpoises (mammals of the order Cetacea); of manatees and dugongs (mammals of the order Sirenia);","MFN applied duty rates","A",,
"887","Yemen","000"," World",2016,2084020,,0,2,10,,"--- Ofseals, sea lions and walruses (mammals of ther suborder pinnipedia)","MFN applied duty rates","A",,
"887","Yemen","000"," World",2016,2085000,,0,2,25,,"- Of reptiles (including snakes and turtles)","MFN applied duty rates","A",,
